Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
5.122619993208218e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.0615314267673766e-16,6.6398964506160628e-19,1.7332321102293426e-29,6.6398964506181043e-19,1.2527728566482198e-29,3.7594874115209154e-30,2.11471645741361e-57,1.9111798347333827e-49,8.8477237756756483e-60,3.1256611691475203e-87,5.5920928253915742e-90,1.8941488532534415e-98
1.4343335980983011e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.7722879949480927e-16,1.8591710062002449e-18,1.0468721945784478e-28,1.8591710062014779e-18,7.5667480542494844e-29,2.2707303965875848e-29,6.6490068947254652e-56,2.2689527056759981e-48,1.9792004226237961e-58,3.5552140611932974e-85,4.3151093600561695e-88,2.6498378970687567e-96
3.2784767956532596e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.319380113130727e-15,4.2495337285885098e-18,5.0402389765457959e-28,4.249533728594447e-18,3.6430634672743771e-28,1.0932589393137104e-28,1.4833568610748865e-54,2.2276712329330978e-47,3.9105665313949772e-57,3.2185217903899401e-83,4.7028172569629059e-86,5.7610488646021318e-94
6.966763190763176e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8036827404016613e-15,9.0302591738089949e-18,2.2012047799900929e-27,9.0302591738349225e-18,1.5910215280893039e-27,4.7745490130803195e-28,2.7781632307397026e-53,1.9703499987735342e-46,6.9586442730391309e-56,2.4393531171724898e-81,3.8471965044202323e-84,9.4400185136354185e-92
1.434333598098301e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999423,5.7722879949399252e-15,1.8591710066025773e-17,9.1895966484254134e-27,1.8591710066134022e-17,6.6422016872634413e-27,1.9932802259922701e-27,4.7985860876748315e-52,1.6561979314401575e-45,1.173677090320963e-54,1.6961749390615671e-79,2.768855250017456e-82,1.3599491977236797e-89
2.909648156142268e-17,0.11224537200000066,0.0,0.0,0.0,0.0,0.99999999999998834,1.1709498504002032e-14,3.7714611857562589e-17,3.7542500800322196e-26,3.7714611858004807e-17,2.7135561195273202e-26,8.1432001162702853e-27,7.97292251031085e-51,1.3578511848051253e-44,1.9277682239747604e-53,1.1310150671019666e-77,1.8768202263722649e-80,1.8444152886221669e-87
5.860277272230201e-17,0.11224537200000133,0.0,0.0,0.0,0.0,0.99999999999997635,2.3583919522068564e-14,7.596041546904918e-17,1.5175279076397197e-25,7.5960415470836714e-17,1.0968627700081759e-25,3.2916116869951458e-26,1.2997875812409584e-49,1.0996231870027775e-43,3.1249956196708103e-52,7.3876869094777092e-76,1.2357826861333986e-78,2.4293678296330057e-85
1.176153550440607e-16,0.1122453720000027,0.0,0.0,0.0,0.0,0.99999999999995215,4.7332761557970886e-14,1.5245202280567433e-16,6.1019129732870938e-25,1.5245202281286186e-16,4.4104369601703715e-25,1.3235425834571011e-25,2.099160370025435e-48,8.8507255546708364e-43,5.0327099299661487e-51,4.7764609523792624e-74,8.0215706723825397e-77,3.1540428623736707e-83
2.3564051968757807e-16,0.11224537200000534,0.0,0.0,0.0,0.0,0.99999999999990474,9.4830445628852676e-14,3.0543523793353257e-16,2.4471400169920453e-24,3.0543523796235794e-16,1.7687824856462505e-24,5.3079977377798045e-25,3.374338839920152e-47,7.1021522578741659e-42,8.0786166560500652e-50,3.0725013124933529e-72,5.1701125777081019e-75,4.0655568152676553e-81
4.716908489746128e-16,0.11224537200001072,0.0,0.0,0.0,0.0,0.99999999999980893,1.8982581376692451e-13,6.1140167000768018e-16,9.801324282327013e-24,6.1140167012313224e-16,7.0843558871017788e-24,2.1259677394228685e-24,5.4115205461325964e-46,5.6903682162908265e-41,1.2946859711067835e-48,1.9713982491590987e-70,3.3205362371423987e-73,5.2213857438211289e-79
