Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479601234436566e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8027569361812795e-16,5.8064210064573355e-19,1.3254127901753929e-29,5.8064210064588974e-19,9.5800277272944049e-30,2.8749021382171108e-30,1.2366334993748326e-57,1.2780363338894041e-49
1.2542883456422387e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194213071524e-16,1.6257978818292726e-18,8.0054932526588713e-29,1.6257978818302155e-18,5.786336747348839e-29,1.7364408915024958e-29,3.8881735823633945e-56,1.5172847390866001e-48
2.8669447900394024e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391557175e-15,3.7161094442812233e-18,3.8543003938292851e-28,3.7161094442857647e-18,2.7858720631917375e-28,8.3602154182257688e-29,8.6743013689960928e-55,1.4896791612231134e-47
6.09225767883373e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.4517494332050328e-15,7.8967325695246189e-18,1.6832742435219646e-27,7.8967325695444483e-18,1.216663521464065e-27,3.6511257158358219e-28,1.6246006441323588e-53,1.3176043604007576e-46
1.2542883456422386e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.0477194213009074e-15,1.6257978821369388e-17,7.0273386135028715e-27,1.6257978821452166e-17,5.0793307018905752e-27,1.524273113952794e-27,2.8060935964304996e-52,1.1075258773334511e-45
2.5444135011599696e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.0239659397481628e-14,3.2980471330490815e-17,2.8708971200255244e-26,3.2980471330828978e-17,2.0750723265871647e-26,6.2271530297504779e-27,4.6623664570135054e-51,9.0801666223225537e-45
5.1246638121954315e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.062353934979896e-14,6.6425456370461248e-17,1.1604625176075625e-25,6.6425456371828196e-17,8.3877741226995253e-26,2.5171148191927e-26,7.6008339732932685e-50,7.353354902248147e-44
1.0285164434266357e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299254257172e-14,1.3331542653731241e-16,4.6661687442841443e-25,1.333154265428088e-16,3.3726870864708206e-25,1.0121207988935737e-25,1.2275366936605025e-48,5.918620641778275e-43
2.0606165678408204e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819062467868e-14,2.6709536721865615e-16,1.8713423659397291e-24,2.6709536724069909e-16,1.3525983708001648e-24,4.0590570918255e-25,1.9732293085252827e-47,4.7493217500988393e-42
4.1248168166691905e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.6599785867606626e-13,5.3465524997190892e-16,7.4951303335813284e-24,5.3465525006019567e-16,5.4174486149303699e-24,1.6257400346104407e-24,3.1645224644969632e-46,3.8052391065516055e-41
8.25321731432593e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993789197082e-13,1.0697750210406743e-15,3.0000054206660207e-23,1.0697750213940516e-15,2.1683912867066149e-23,6.5071969788176638e-24,5.0691275413282002e-45,3.0465086944152136e-40
1.651001830963941e-15,0.11224537200003754,0.0,0.0,0.0,0.0,0.9999999999993312,6.6442409627861182e-13,2.1400145854272477e-15,1.2003929369855926e-22,2.1400145868412193e-15,8.6763897103472961e-23,2.6037264248521291e-23,8.1153185841719066e-44,2.4381387113700418e-39
3.3023620300266366e-15,0.11224537200007506,0.0,0.0,0.0,0.0,0.99999999999866263,1.3289924128712209e-12,4.2804938031965594e-15,4.8023533962179117e-22,4.28049380885338e-15,3.4711209391789759e-22,1.0416601397615263e-22,1.2988276663992522e-42,1.9508907848364219e-38
6.605082428152029e-15,0.11224537200015017,0.0,0.0,0.0,0.0,0.99999999999732458,2.6581290453337449e-12,8.5614525947198043e-15,1.9210976988777346e-21,8.5614526173490194e-15,1.3885614442177445e-21,4.1669798748885063e-22,2.0784237751551899e-41,1.5608758248026592e-37
1.3210523224402811e-14,0.11224537200030028,0.0,0.0,0.0,0.0,0.9999999999946495,5.3164023073680256e-12,1.712337160170457e-14,7.6847034842415219e-21,1.7123371692225841e-14,5.5544723179378129e-21,1.666859937180323e-21,3.3257116035312794e-40,1.2487839494760064e-36
2.6421404816904376e-14,0.11224537200060059,0.0,0.0,0.0,0.0,0.99999999998929867,1.06329488198735e-11,3.4247215311425204e-14,3.0739439300088462e-20,3.4247215673523549e-14,2.2218345529349544e-20,6.6675766987185191e-21,5.3213060207177369e-39,9.9908928838818753e-36
5.2843168001907506e-14,0.11224537200120117,0.0,0.0,0.0,0.0,0.99999999997859723,2.1266041798632115e-11,6.849492551385532e-14,1.2295900773395413e-19,6.849492696231057e-14,8.887431997996502e-20,2.6670588482347963e-20,8.5141615103284051e-38,7.9934238210364265e-35
1.0568669437191377e-13,0.1122453720024024,0.0,0.0,0.0,0.0,0.9999999999571938,4.2532227571139953e-11,1.3699043705054647e-13,4.918385303839268e-19,1.3699044284477364e-13,3.5549935836736641e-19,1.066829795873471e-19,1.3622517238301334e-36,6.3957604595266991e-34
2.1137374711192629e-13,0.11224537200480482,0.0,0.0,0.0,0.0,0.99999999991438748,8.5064598376118048e-11,2.7398182465025664e-13,1.9673591074012745e-18,2.7398184783023757e-13,1.4220032120829967e-18,4.2673366791367735e-19,2.1795278836843491e-35,5.1181970869476554e-33
4.2274785259195133e-13,0.11224537200960964,0.0,0.0,0.0,0.0,0.99999999982877474,1.7012933702592297e-10,5.4796605794702109e-13,7.869446297013124e-18,5.4796615069116871e-13,5.6880373791847015e-18,1.7069421567729792e-18,3.4869813011431108e-34,4.0970814204462019e-32
8.454960635520014e-13,0.11224537201921926,0.0,0.0,0.0,0.0,0.99999999965754915,3.4025880248492087e-10,1.095940356866189e-12,3.1477804088206496e-17,1.0959407280358622e-12,2.2752302366334565e-17,6.8278154855421665e-18,5.5783086830094672e-33,3.281695890009671e-31
1e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687392926024e-10,1.2962155709707461e-12,4.8734339254405663e-17,1.2962161459023176e-12,3.5225609264891463e-17,1.0570973851681595e-17,2.0863742311635814e-32,7.4912991455164328e-31
1.6909924854721018e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.9999999993150982,6.8051768604041296e-10,2.1919122834972058e-12,1.2591124747577182e-16,2.1919137697190914e-12,9.1010345450660086e-17,2.7311610769770992e-17,8.9225235329710206e-32,2.6318031219459583e-30
2.536488907392202e-12,0.11224537205765779,0.0,0.0,0.0,0.0,0.99999999897264713,1.0207765222041942e-09,3.287907538317198e-12,2.6756141305556609e-16,3.2879106988045837e-12,1.9339862812413225e-16,5.8037677903147515e-17,3.4012234907505793e-31,7.5375918013519062e-30
4.227481751232403e-12,0.11224537209609636,0.0,0.0,0.0,0.0,0.99999999828774455,1.7012940050809874e-09,5.4799913570098863e-12,7.3972858627518739e-16,5.4800001109795885e-12,5.3470196345593113e-16,1.6046068546608456e-16,2.7954672109277542e-30,3.4818131708635754e-29
5.749375310688583e-12,0.11224537213069105,0.0,0.0,0.0,0.0,0.99999999767133219,2.3137595865234477e-09,7.4529421614997391e-12,1.3172373790960326e-15,7.4529577687893984e-12,9.5215948720438953e-16,2.8573715282510339e-16,8.1512721449717509e-30,7.8643882608668275e-29
7.271268870144763e-12,0.11224537216528582,0.0,0.0,0.0,0.0,0.99999999705491893,2.9262250059071207e-09,9.4259727377179431e-12,2.0562260092445022e-15,9.425997130939532e-12,1.4863559740352786e-15,4.460463586178083e-16,1.8646562968213054e-29,1.4911090712060889e-28
8.793162429600944e-12,0.11224537219988052,0.0,0.0,0.0,0.0,0.99999999643850568,3.5386902721877059e-09,1.1399078663815038e-11,2.9477494294525064e-15,1.1399113674293788e-11,2.1308289259944765e-15,6.3944897189182537e-16,3.6866359236278339e-29,2.5005776739040385e-28
1e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999594969968,4.0243654781202018e-09,1.2963761235793992e-11,3.737143399129806e-15,1.2963805659187575e-11,2.7014821776849179e-15,8.1069878132702967e-16,5.837169670113349e-29,3.503486602453775e-28
1.1836949548513304e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999520567862,4.7636204553267059e-09,1.5345462340755846e-11,5.0786489718979536e-15,1.5345522778708999e-11,3.6712702461702461e-15,1.1017267836437598e-15,1.0308771854832009e-28,5.3737071524192654e-28
