Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
6.212088123516412e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4999740656275741e-16,8.052055273812657e-19,2.5488703048103153e-29,8.0520552738156595e-19,1.8423127270919755e-29,5.5286556834964662e-30,4.5733472019006922e-57,3.4083031772716586e-49,1.9134340972096106e-59,1.072957989668513e-86,1.7784740024676738e-89,7.3052089853685327e-98,6.9573696252651658e-100,1.568186386364206e-100,1.7058688230876831e-67,7.0850401196916795e-69,1.3805679454960873e-96,5.3789671939579988e-88,8.5584697529188204e-85,4.4836577305125356e-98
1.7393846745845958e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.9999273837563803e-16,2.2545754767083482e-18,1.5395176641052953e-28,2.2545754767101617e-18,1.1127568871803584e-28,3.3393080328834959e-29,1.4379335332576006e-55,4.046337544774315e-48,4.2802755509452858e-58,1.2132551458896629e-84,1.372350219829563e-87,1.0219691442264632e-95,9.7330861361229651e-98,2.1938310368658263e-98,9.824931122806261e-66,4.0806203527293958e-67,2.8136900344779647e-94,5.6302074768582188e-86,8.9582174865566218e-83,8.4923802239483699e-96
3.975736399050505e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5999834020010678e-15,5.153315375525732e-18,7.4121148463863714e-28,5.1533153755344634e-18,5.3574454106355453e-28,1.6077330728382194e-28,3.2079506092247312e-54,3.9727182214206376e-47,8.4571032532270746e-57,1.0977788131461985e-82,1.4956543984435648e-85,2.2218763959689521e-93,2.1160868014661286e-95,4.7696453372508979e-96,4.4059114959843598e-64,1.8299214383280217e-65,5.0932934005497789e-92,5.0577018362267156e-84,8.0473040805299853e-81,1.526203979709609e-93
8.448439847982323e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3999647292506023e-15,1.0950795173813368e-17,3.2370652871070065e-27,1.09507951738515e-17,2.3397371636672918e-27,7.0213927188407978e-28,6.0081364495536285e-53,3.5138243222663023e-46,1.5048963564525066e-55,8.3173400473500644e-81,1.2235381590961473e-83,3.6407503589743014e-91,3.4674171077728453e-93,7.8155346938844122e-94,1.6576140200987092e-62,6.8846217868235713e-64,7.7245692492418924e-90,3.8138804322086951e-82,6.0682607726204377e-79,2.3041950297658168e-91
1.7393846745845956e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999301,6.9999273837443683e-15,2.2545754773000136e-17,1.3514110356085441e-26,2.2545754773159322e-17,9.7679420813860037e-27,2.931293244110085e-27,1.037756156143361e-51,2.9535811423062744e-45,2.5382277283482996e-54,5.782252074186136e-79,8.8058929310154061e-82,5.2449358075568185e-89,4.9952654304751281e-91,1.1259294461956345e-91,5.7397910563410119e-61,2.3839259328519997e-62,1.0745479536556052e-87,2.6443641060737169e-80,4.2074441659177539e-77,3.1971171561242064e-89
3.528466054157323e-17,0.1122453720000008,0.0,0.0,0.0,0.0,0.99999999999998579,1.4199852692710697e-14,4.5735673981819609e-17,5.5209550350153767e-26,4.5735673982469957e-17,3.9905230613751866e-26,1.1975289362778884e-26,1.724247362040489e-50,2.4215243923375415e-44,4.1690468722676786e-53,3.8552417687530373e-77,5.9689208793831132e-80,7.113364772429978e-87,6.7748531246161042e-89,1.5270473067177631e-89,1.9096646253436944e-59,7.9314716619515743e-61,1.4332400088787042e-85,1.7606592143135849e-78,2.8013818053335121e-75,4.2586687526344753e-87
7.106628813302776e-17,0.1122453720000016,0.0,0.0,0.0,0.0,0.99999999999997147,2.859970331055853e-14,9.2115512441242386e-17,2.2316582976229334e-25,9.2115512443871142e-17,1.6130332252126524e-25,4.8406034313902236e-26,2.8109583374293703e-49,1.96101343603578e-43,6.7582053062698006e-52,2.5180821897125147e-75,3.9302054235281756e-78,9.3693053073871687e-85,8.9237011708415049e-87,2.0113962001509395e-87,6.23029084405125e-58,2.5876467712531668e-59,1.872502571767683e-83,1.1491846409245063e-76,1.828464766732933e-73,5.5601269789570644e-85
1.4262954331593683e-16,0.11224537200000326,0.0,0.0,0.0,0.0,0.99999999999994205,5.7399404545914863e-14,1.8487518952722302e-16,8.9733998627904059e-25,1.848751895377931e-16,6.4859356614796183e-25,1.9463853520664074e-25,4.5397050933562807e-48,1.5783945409740282e-42,1.0883883459564713e-50,1.6280086612356624e-73,2.5511297844994504e-76,1.2164022180582754e-82,1.1586185450516289e-84,2.6115183516171304e-85,2.0130078550625096e-56,8.3606903015553075e-58,2.4214030456607456e-81,7.4271863943912758e-75,1.1817365650375723e-71,7.1875741935780698e-83
2.85756053681755e-16,0.11224537200000652,0.0,0.0,0.0,0.0,0.9999999999998842,1.1499880701527034e-13,3.7039454436772513e-16,3.5987346900540669e-24,3.7039454441011591e-16,2.601150296172382e-24,7.8058758203687659e-25,7.2974429323076728e-47,1.2665627342335624e-41,1.7471050296276249e-49,1.0472179832685354e-71,1.6442699820020177e-74,1.567908243756258e-80,1.4936030802967038e-82,3.3665712203000414e-83,6.4727028898360184e-55,2.688328465345577e-56,3.1152397079486296e-79,4.7767108590248923e-73,7.6001898024704967e-70,9.2455569683413033e-81
5.720090744133914e-16,0.112245372000013,0.0,0.0,0.0,0.0,0.99999999999976852,2.3019761194855251e-13,7.4143325672289244e-16,1.441370966034352e-23,7.414332568926767e-16,1.04181687555001e-23,3.1264218645387144e-24,1.1703110784479305e-45,1.0147922912463618e-40,2.7999257580666329e-48,6.7191861688892926e-70,1.0560423417421916e-72,2.0135776721749096e-78,1.918604661879295e-80,4.3245218937550987e-81,2.0762511861339531e-53,8.6233603387848693e-55,3.9976808002846777e-77,3.0645852975542472e-71,4.8760198702296184e-68,1.1863501837992084e-78
