Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
5.693472809892277e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.2912640782097497e-16,7.3798341663079178e-19,2.1410510559972455e-29,7.3798341663104398e-19,1.5475426907238403e-29,4.6440730444915204e-30,3.226953785660281e-57,2.6239596261091942e-49,1.3501190987235395e-59,6.3594648701852161e-87,1.054108655636095e-89,3.9683519558015051e-98,3.7794000356053674e-100,8.5187420012063904e-101,1.1031730336359882e-67,4.5818464316243337e-69
1.5941723867698378e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.4155394189866052e-16,2.0663535666004933e-18,1.2931948378222332e-28,2.0663535666020163e-18,9.3471578521013783e-29,2.8050201189126286e-29,1.0146059011001816e-55,3.1151648770902354e-48,3.0201624273914408e-58,7.1910117195810559e-85,8.1339746486982511e-88,5.551564012093682e-96,5.2872318220930776e-98,1.1917384792663866e-98,6.3537119183310023e-66,2.6389089527987417e-67
3.643822598331058e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.4664090100537531e-15,4.7230938666769979e-18,6.2261764708384337e-28,4.7230938666843326e-18,4.5002541448189987e-28,1.3504964413977587e-28,2.2635299501124334e-54,3.0584873670005926e-47,5.967332049695543e-57,6.5065788815083741e-83,8.864803448857468e-86,1.2069729311036274e-93,1.1495060579984662e-95,2.5909788794550176e-96,2.8492711078848936e-64,1.1833975350754214e-65
7.743123021453497e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999689,3.116119146362825e-15,1.003657446737842e-17,2.7191348411148913e-27,1.0036574467410449e-17,1.9653792174198162e-27,5.8979727671203501e-28,4.2393410798943945e-53,2.7051974716122636e-46,1.0618548669843098e-55,4.9297206724285415e-81,7.2519596151529765e-84,1.9777375984266218e-91,1.8835791468432851e-93,4.245574649190057e-94,1.0719670017160986e-62,4.4522372837543631e-64
1.5941723867698378e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.99999999999999367,6.4155394189765163e-15,2.0663535670974916e-17,1.1351852698882896e-26,2.0663535671108637e-17,8.2050713480226549e-27,2.4622875287439125e-27,7.322407441817895e-52,2.2738815286393657e-45,1.7909734778262425e-54,3.4271639016322051e-79,5.2192879702125428e-82,2.8491690239019295e-89,2.713540803095924e-91,6.1163025993771582e-92,3.7118813766793436e-61,1.5416684100885244e-62
3.233892556018814e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.99999999999998701,1.3014379964186084e-14,4.1917458086942503e-17,4.6376022293199903e-26,4.1917458087488783e-17,3.3520393713435759e-26,1.0059247981985249e-26,1.2166289400594338e-50,1.864265546821405e-44,2.9416794489156269e-53,2.2850171935950805e-77,3.5378032894183471e-80,3.8641471149015893e-87,3.6802529647372164e-89,8.2952652620180624e-90,1.2349663067955803e-59,5.1292278622907204e-61
6.513332894516767e-17,0.11224537200000148,0.0,0.0,0.0,0.0,0.99999999999997369,2.6212061054533961e-14,8.4425302953976083e-17,1.8745929699661697e-25,8.4425302956184191e-17,1.3549479090348697e-25,4.066108869820341e-26,1.9834122075501265e-49,1.5097307158920163e-43,4.7685895854836997e-52,1.4924773673338912e-75,2.3294484864469552e-78,5.0896396510607545e-85,4.8475556832362642e-87,1.0926357679541258e-87,4.0290840500229568e-58,1.6734132710277586e-59
1.307221357151267e-16,0.11224537200000297,0.0,0.0,0.0,0.0,0.99999999999994704,5.2607423234944714e-14,1.6944099282843681e-16,7.5376558845985571e-25,1.6944099283731551e-16,5.448185954596515e-25,1.6349644947378315e-25,3.2032159290584667e-48,1.2151628519019209e-42,7.679667915351155e-51,9.6492722903048934e-74,1.5120648421160149e-76,6.6078319630086655e-83,6.2938772058020046e-85,1.4186356586219469e-85,1.3017976308382892e-56,5.4068006133226367e-58
2.618997492550448e-16,0.11224537200000599,0.0,0.0,0.0,0.0,0.99999999999989364,1.0539814759462609e-13,3.3947237313893251e-16,3.0229371395901302e-24,3.3947237317454011e-16,2.1849662479895257e-24,6.5569388923112707e-25,5.1490757820756028e-47,9.7509202651650282e-42,1.2327572273726104e-49,6.2069027134413878e-72,9.7456541380829075e-75,8.5173935702775024e-81,8.1135888162795288e-83,1.8287974207020434e-83,4.1858501967661082e-55,1.7385234428050609e-56
5.242549763348809e-16,0.11224537200001192,0.0,0.0,0.0,0.0,0.99999999999978761,2.1097959630942871e-13,6.7953513600622165e-16,1.2107516114491315e-23,6.7953513614883774e-16,8.7512617484258395e-24,2.6261956482394449e-24,8.2577151271669296e-46,7.8126079137520013e-41,1.9756273534372239e-48,3.9824883433478716e-70,6.2592054367163745e-73,1.0938632350728824e-78,1.0422293461374238e-80,2.3491778776198945e-81,1.3426966546404194e-53,5.576667616275285e-55
