Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
6.086578455865722e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4494643323666407e-16,7.8893745775885864e-19,2.4469154925682664e-29,7.8893745775914715e-19,1.7686202179718531e-29,5.3075120508528287e-30,4.2147967811417821e-57,3.2058638102207032e-49,1.7634208638495659e-59,9.4928455151136076e-87,1.573479975147142e-89,6.332598726381384e-98,6.0310742759755518e-100,1.3594000440041669e-100,1.5403645126790267e-67,6.3976488098879748e-69,1.1967602283506944e-96,4.7589659216900316e-88,7.5719862949443499e-85
1.7042419676424021e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.858500130625796e-16,2.2090248817639765e-18,1.4779369575111058e-28,2.2090248817657175e-18,1.0682466116708067e-28,3.205737278763671e-29,1.3251995442200726e-55,3.8060015272143779e-48,3.9447019472013691e-58,1.0734104957131118e-84,1.2141676440986784e-87,8.8590492366716575e-96,8.4372354179542451e-98,1.9017471608067741e-98,8.8717110227807451e-66,3.6847181529663622e-67,2.4390775852675255e-94,4.9812472397831205e-86,7.9256575058304226e-83
3.895410211754062e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5676571727140929e-15,5.0491997299309023e-18,7.1156302523866154e-28,5.0491997299392839e-18,5.1431475940992592e-28,1.5434245044608492e-28,2.9564472814475393e-54,3.7367548922074117e-47,7.7940663561068661e-57,9.7124442781731276e-83,1.3232592899125395e-85,1.9260574776771868e-93,1.8343536941588809e-95,4.1346208190322079e-96,3.9784475938229389e-64,1.6523822751510212e-65,4.4151763755201237e-92,4.4747308869341165e-84,7.1197396227817272e-81
8.277746699977383e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3312714920158468e-15,1.0729549426891509e-17,3.1075826755597295e-27,1.0729549426928116e-17,2.2461476770692655e-27,6.7405403053358447e-28,5.5370985520826593e-53,3.3051174262471495e-46,1.3869124813911436e-55,7.3586501009071485e-81,1.0825082568446239e-83,3.1560238856628367e-91,3.0057696011684188e-93,6.774984338380362e-94,1.4967914167115737e-62,6.2166750844804811e-64,6.6961262532397301e-90,3.3742773105048664e-82,5.3688087629324862e-79
1.704241967642402e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.8585001306142675e-15,2.2090248823319756e-17,1.2973545941579226e-26,2.2090248823472576e-17,9.3772243978918741e-27,2.8140428900396484e-27,9.5639607360096744e-52,2.7781504147378883e-45,2.3392306720675291e-54,5.1157665254527105e-79,7.7908904901775166e-82,4.546630097268119e-89,4.3302021407108388e-91,9.7602463093891745e-92,5.182913442624244e-61,2.1526371978474465e-62,9.3148349477595383e-88,2.3395641110780352e-80,3.7224773218124189e-77
3.45717656293173e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998612,1.3912957407790748e-14,4.4811647626204359e-17,5.3001168335075579e-26,4.4811647626828669e-17,3.8309021388027438e-26,1.1496283408365247e-26,1.5890663692513304e-50,2.2776956730758084e-44,3.8421935897280293e-53,3.4108711487033515e-77,5.2809191859776993e-80,6.1663000675022502e-87,5.8728577930117231e-89,1.3237381697659532e-89,1.7243879370927088e-59,7.1619594808613095e-61,1.2424195743267594e-85,1.5577185763012956e-78,2.4784833333861639e-75
6.963045753510387e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.99999999999997191,2.8021871962062279e-14,9.0254445272086028e-17,2.1423919656748122e-25,9.0254445274609581e-17,1.5485118961405707e-25,4.6469815658184051e-26,2.5905792051682166e-49,1.8445371944187408e-43,6.2283619852153456e-52,2.2278379396213203e-75,3.4771942294400574e-78,8.1218922827572117e-85,7.735610946747069e-87,1.743601468320433e-87,5.62582467963112e-58,2.3365930212549125e-59,1.6231990662176096e-83,1.0167250036829565e-76,1.6177086045618169e-73
1.3974784134667697e-16,0.11224537200000319,0.0,0.0,0.0,0.0,0.99999999999994327,5.6239701070279585e-14,1.8114004072429911e-16,8.6144638681061113e-25,1.8114004073444621e-16,6.2264982346352686e-25,1.8685308513780165e-25,4.1837922187087609e-48,1.4846443031668421e-42,1.0030586915827865e-50,1.4403578509427292e-73,2.2570763660891782e-76,1.0544538001142965e-82,1.0043615467136568e-84,2.263824122417603e-85,1.8177047526558685e-56,7.5495352934110912e-58,2.0990193595085234e-81,6.5710989384388245e-75,1.0455248825750944e-71
2.799826089698232e-16,0.1122453720000064,0.0,0.0,0.0,0.0,0.99999999999988642,1.126753592854113e-13,3.6291123227052464e-16,3.454785302383489e-24,3.6291123231121902e-16,2.4971042840671231e-24,7.4936444503543499e-25,6.7253234217089346e-47,1.191334031893887e-41,1.6101319694833759e-49,9.2651143155645213e-72,1.4547448533744767e-74,1.3591645340516639e-80,1.2947466702506317e-82,2.9183502199270164e-83,5.8447177883617164e-55,2.4275065728407595e-56,2.7004791384511653e-79,4.2261277451770948e-73,6.7241615379616251e-70
5.604521442161157e-16,0.11224537200001272,0.0,0.0,0.0,0.0,0.99999999999977318,2.2554667571046308e-13,7.2645361793017299e-16,1.3837161273662447e-23,7.264536180931627e-16,1.0001442003413053e-23,3.0013664567321156e-24,1.0785586948472932e-45,9.5451771884174537e-41,2.5804114959108009e-48,5.9447057109185887e-70,9.343186857274834e-73,1.7455080269106247e-78,1.6631640905604309e-80,3.7487605790683166e-81,1.8748121881220237e-53,7.7867210931923316e-55,3.4654326677329124e-77,2.7113485354824398e-71,4.3139903326986819e-68
