Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
4.8118636106181455e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9364715844157461e-16,6.2370966714938891e-19,1.529322450202369e-29,6.2370966714956879e-19,1.1053878146887417e-29,3.3171947748687392e-30,1.6464055464658537e-57,1.5840360490091353e-49,6.8883662606889269e-60,2.1471822612304429e-87
1.3473218109730807e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.4221204363635918e-16,1.7463870680427717e-18,9.2371075992216851e-29,1.7463870680438591e-18,6.6765424007981035e-29,2.0035856440447146e-29,5.1765624615016618e-56,1.880567601961909e-48,1.540899982634711e-58,2.4422649001894612e-85
3.079592710795613e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2393418140257294e-15,3.9917418699274675e-18,4.4472696851875495e-28,3.9917418699327053e-18,3.2144677652320163e-28,9.6464024056782338e-29,1.15486260819753e-54,1.8463524324024518e-47,3.0445587165207216e-57,2.2109731403096016e-83
6.544134510440678e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999734,2.6336013548036744e-15,8.4824514740885824e-18,1.9422395117560363e-27,8.4824514741114593e-18,1.4038425247757632e-27,4.2128373644552401e-28,2.1629298512764428e-53,1.6330778333919287e-46,5.4176296179629213e-56,1.6757208963028e-81
1.3473218109730808e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999456,5.4221204363563853e-15,1.7463870683977704e-17,8.1084676309642041e-27,1.7463870684073215e-17,5.8607661945692632e-27,1.7587766699701523e-27,3.7359234258878774e-52,1.3727003465185864e-45,9.1376243835294777e-55,1.1651924301560001e-79
2.7331385308311067e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999889,1.0999158599449081e-14,3.5426709110023518e-17,3.3125736000289225e-26,3.5426709110413708e-17,2.3943142230508922e-26,7.1851765729908701e-27,6.2072926159176642e-51,1.1254227237842893e-44,1.5008576064726989e-53,7.769541701471531e-78
5.504771970547159e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.99999999999997791,2.2153234925583586e-14,7.1352385987185448e-17,1.3389952126236832e-25,7.1352385988762677e-17,9.6782009113392162e-26,2.904363253078123e-26,1.0119453500493792e-49,9.1139657258511547e-44,2.4329550432414819e-52,5.0749935153972529e-76
1.1048038849979262e-16,0.11224537200000252,0.0,0.0,0.0,0.0,0.99999999999995515,4.4461387577648986e-14,1.4320373984179043e-16,5.3840408587859556e-25,1.4320373984813238e-16,3.891562023279203e-25,1.1678316911626207e-25,1.6342944100339956e-48,7.3357136772844929e-43,3.9181996949946985e-51,3.2812040469566606e-74
2.213457260884347e-16,0.112245372000005,0.0,0.0,0.0,0.0,0.99999999999991052,8.9077692880965499e-14,2.8690644795212494e-16,2.1592411914661557e-24,2.8690644797755915e-16,1.5606904281899924e-24,4.6835274147006051e-25,2.6270804255444591e-47,5.8864501070149909e-42,6.2895801924558422e-50,2.1106638776930883e-72
4.4307640126571884e-16,0.1122453720000101,0.0,0.0,0.0,0.0,0.99999999999982037,1.7831030348434111e-13,5.7431186577729218e-16,8.6482273079563086e-24,5.7431186587916163e-16,6.2509022507499432e-24,1.8758538869348915e-24,4.2131215768568408e-46,4.716326263715418e-41,1.0079734270105952e-48,1.3542578276786035e-70
8.865377516202872e-16,0.11224537200002015,0.0,0.0,0.0,0.0,0.99999999999964106,3.5677552467806318e-13,1.1491227078456202e-15,3.4615447161353743e-23,1.1491227082533635e-15,2.5019899484043094e-23,7.5083042131005985e-24,6.7488382904992761e-45,3.7759335325106639e-40,1.6140727591379398e-47,8.6782583931552309e-69
1.7734604523294238e-15,0.11224537200004031,0.0,0.0,0.0,0.0,0.9999999999992818,7.1370596701338983e-13,2.2987444176542467e-15,1.3850687734307274e-22,2.2987444192857531e-15,1.0011218914196221e-22,3.004299726403303e-23,1.0804417746361246e-43,3.0219020814230583e-39,2.5835739222936876e-46,5.5576182088964266e-67
