Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
5.415572871700518e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268626865447e-16,7.0196224770297912e-19,1.9371414316165636e-29,7.0196224770320744e-19,1.400157672558685e-29,4.2017803735845534e-30,2.6415653439636771e-57,2.2581802654233975e-49,1.1051995342359582e-59,4.3637075652310286e-87,7.8070740427586412e-90,2.7956337498562577e-98,2.662520343135241e-100,6.0013027629954772e-101
1.516360404076145e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952155216954e-16,1.9654942935993529e-18,1.1700334246963153e-28,1.9654942936007314e-18,8.4569523423658013e-29,2.5378753456792789e-29,8.305504089214411e-56,2.6809116184562283e-48,2.472287156575599e-58,4.9634025131113749e-85,6.0242881031970802e-88,3.9109787790760369e-96,3.7247611130867095e-98,8.3955863746999172e-99
3.4659666378883315e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331921189477e-15,4.4925583855161464e-18,5.6332072831396264e-28,4.4925583855227824e-18,4.0716585119676728e-28,1.2218777326897008e-28,1.8529122724656503e-54,2.6321349393221483e-47,4.8848228319016707e-57,4.4933494499738623e-83,6.5655638558594156e-86,8.5029117901636047e-94,8.0980664522801766e-96,1.8252987008047686e-96
7.365179105512705e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.9640205332514976e-15,9.5466865698459185e-18,2.4601696181516494e-27,9.5466865698748968e-18,1.7782002443221138e-27,5.3362610749826162e-28,3.4702996155765442e-53,2.3280935718554651e-46,8.6922813282977282e-56,3.405559044134724e-81,5.3710388747540927e-84,1.393281546673862e-91,1.3269481265895361e-93,2.9909320967479167e-94
1.516360404076145e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.1023952155125679e-15,1.9654942940490192e-17,1.0270723870418534e-26,1.9654942940611171e-17,7.4236359814594045e-27,2.2277839545517404e-27,5.9940795661420079e-52,1.9569029689969364e-45,1.4660803267527073e-54,2.3680146463433029e-79,3.8655756627233431e-82,2.0071904076689488e-89,1.91164140474568e-91,4.3088267844233969e-92
3.0760453911258944e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.2379144580018587e-14,3.9871455689717641e-17,4.1959258265281673e-26,3.98714556902119e-17,3.0327975263841039e-26,9.1012243644394624e-27,9.9592527910250877e-51,1.6043873567142446e-44,2.4080414431038673e-53,1.5790000117366908e-77,2.6202130217301617e-80,2.7222267562728809e-87,2.5926729915826808e-89,5.8438673670594989e-90
6.195415365225393e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643308966166e-14,8.030448121992829e-17,1.6960603061603202e-25,8.0304481221926104e-17,1.2259052509751797e-25,3.6788604058547439e-26,1.6236095448606804e-49,1.2992745940359113e-43,3.9035392861420912e-52,1.0313883603976292e-75,1.7252658686814928e-78,3.5855704100175534e-85,3.4150170739115313e-87,7.6974253563272537e-88
1.243415531342439e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640766603443e-14,1.6117053240737229e-16,6.8197838955928147e-25,1.6117053241540541e-16,4.9293111013240921e-25,1.4792535903376922e-25,2.6221336916296357e-48,1.0457694143759002e-42,6.2865307673980291e-51,6.6683744506767171e-74,1.1198847646109317e-76,4.6551251221654843e-83,4.4339249670005419e-85,9.9940368401177447e-86
2.4911635209822383e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363568084653e-13,3.229026352903515e-16,2.7350383643939989e-24,3.2290263532256779e-16,1.9768742240074075e-24,5.9324685204964263e-25,4.2150031333929183e-47,8.3916439450643686e-42,1.0091277626289811e-49,4.2894916832365809e-72,7.2179508056898735e-75,6.0004162684597166e-81,5.7158795807994854e-83,1.2883553840707577e-83
4.986659500261837e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550520671e-13,6.4636684308867381e-16,1.0954419341706076e-23,6.4636684321770749e-16,7.917808245658774e-24,2.3760817760823555e-24,6.7597170963407062e-46,6.723531698396098e-41,1.6172367891839255e-48,2.7522515904979087e-70,4.6357726981617811e-73,7.7062355738337928e-79,7.3423211756459563e-81,1.654954213679274e-81
