Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
5.415578069359327e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268626446244e-16,7.0196289846398211e-19,1.9371432907732364e-29,7.0196289846421043e-19,1.4001589976310788e-29,4.2017883015974925e-30,2.6415703790961734e-57,2.2581836343003536e-49,1.1052027005926219e-59,4.3637242551422154e-87,7.8071005711476962e-90,2.7956459325490608e-98,2.6625308417109221e-100,6.0013288519278408e-101
1.5163618594206115e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952154043188e-16,1.965496115730162e-18,1.1700345476269455e-28,1.9654961157315402e-18,8.4569603458030625e-29,2.537880134199094e-29,8.3055199204765923e-56,2.680915617986963e-48,2.4722942395888211e-58,4.9634214966811673e-85,6.024308573690584e-88,3.9109958221666924e-96,3.7247758001806585e-98,8.3956228720895066e-99
3.465969964389969e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331920921187e-15,4.4925625503865652e-18,5.6332126895672308e-28,4.4925625503932005e-18,4.0716623652781947e-28,1.2218800381558632e-28,1.8529158043331513e-54,2.6321388660851639e-47,4.8848368267422854e-57,4.4933666357275107e-83,6.565586165604526e-86,8.5029488437536251e-94,8.0980983837407484e-96,1.8253066357642513e-96
7.365186174328685e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.9640205331944854e-15,9.5466954201955599e-18,2.4601719792806238e-27,9.5466954202245367e-18,1.7782019271640544e-27,5.3362711435590499e-28,3.4703062303734799e-53,2.3280970450329224e-46,8.6923062313691342e-56,3.4055720694067117e-81,5.3710571255106857e-84,1.3932876182430562e-91,1.3269533588745394e-93,2.9909450989622528e-94
1.5163618594206114e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.1023952153951901e-15,1.9654961161798282e-17,1.0270733727667214e-26,1.9654961161919255e-17,7.4236430069932408e-27,2.227788157984201e-27,5.9940909915586812e-52,1.9569058884119315e-45,1.4660845270197834e-54,2.3680237033099808e-79,3.865588797925239e-82,2.0071991544756143e-89,1.9116489425328709e-91,4.3088455158045397e-92
3.076048343396098e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.237914457978048e-14,3.9871492652942655e-17,4.1959298535358861e-26,3.9871492653436876e-17,3.0328003965439146e-26,9.1012415368326143e-27,9.9592717745256181e-51,1.6043897502271528e-44,2.4080483420554573e-53,1.5790060509520597e-77,2.6202219251974772e-80,2.7222386189588606e-87,2.5926832147432512e-89,5.8438927715863653e-90
6.19542131134707e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643308486595e-14,8.0304555666987145e-17,1.6960619339412267e-25,8.0304555668984886e-17,1.225906411139666e-25,3.6788673472106219e-26,1.6236126396503329e-49,1.2992765323649e-43,3.9035504696409001e-52,1.031392305157825e-75,1.7252717311238631e-78,3.5855860347487366e-85,3.4150305396540921e-87,7.6974588186618129e-88
1.2434167247249016e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640765640938e-14,1.6117068182209903e-16,6.8197904408282471e-25,1.6117068183013185e-16,4.9293157662944712e-25,1.4792563814263633e-25,2.6221386897230204e-48,1.0457709745119899e-42,6.2865487780812653e-51,6.6683999552671862e-74,1.1198885699719722e-76,4.6551454072482643e-83,4.4339424503946039e-85,9.9940802863057969e-86
2.4911659119052907e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363567891818e-13,3.2290293464041471e-16,2.73504098932615e-24,3.2290293467263002e-16,1.9768760948691803e-24,5.9324797140103594e-25,4.215011167681517e-47,8.3916564641785892e-42,1.0091306537435357e-49,4.289508089292743e-72,7.217975332236299e-75,6.0004424146887531e-81,5.7159021190621179e-83,1.2883609848231096e-83
4.986664286266069e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550134667e-13,6.4636744230941294e-16,1.0954429855126253e-23,6.4636744243844208e-16,7.9178157388642714e-24,2.3760862593264476e-24,6.7597299811509725e-46,6.723541728929345e-41,1.6172414225089185e-48,2.7522621170579464e-70,4.635788450481467e-73,7.706269150261035e-79,7.3423501271185158e-81,1.6549614081127226e-81
9.977661034987625e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.0153760512969988e-13,1.2932964657768779e-15,4.3846267486778447e-23,1.2932964662933311e-15,3.1691897606361279e-23,9.5105373667257807e-24,1.0828152656865074e-44,5.3829292748871786e-40,2.5896969675973365e-47,1.7636851718230237e-68,2.9721250492622847e-71,9.8774521247998591e-77,9.4148760817967842e-79,2.1221075321895064e-79
1.9959654532430734e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956432039076e-13,2.5871545452296802e-15,1.7544218234067615e-22,2.5871545472961676e-15,1.2680887285493725e-22,3.8054538075030924e-23,1.7335113822471267e-43,4.3079917115326411e-39,4.1452131427649834e-46,1.1294767428213828e-66,1.9038311196959355e-69,1.2643927772050491e-74,1.2061712614298762e-76,2.7187029061265489e-77
3.992364152731695e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.6066734824377125e-12,5.1748708342067714e-15,7.0188297033392833e-22,5.1748708424740866e-15,5.0731807897085386e-22,1.5224293640416705e-22,2.7744225122358321e-42,3.4470676027688126e-38,6.6337272813344888e-45,7.2309722080334604e-65,1.2189855243580535e-67,1.6164785010299676e-72,1.544580746869324e-74,3.4814758281808921e-75
7.985161551708939e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213176161102e-12,1.0350303932446831e-14,2.8077603788469237e-21,1.0350303965518944e-14,2.0294375901932281e-21,6.0902134422054292e-22,4.4397146723452754e-41,2.7579474468610228e-37,1.0615160853541933e-43,4.6285930232915251e-63,7.8031977720551655e-66,2.0627700973339039e-70,1.977495224672349e-72,4.4572623325552976e-73
1.5970756349663426e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.427216983747931e-12,2.0701172210070052e-14,1.1231498521056202e-20,2.0701172342365188e-14,8.1180816207238931e-21,2.436184792549754e-21,7.1040387814095666e-40,2.2065131381375411e-36,1.6985496994914714e-42,2.9625819679356005e-61,4.9945662292177751e-64,2.6234475731533448e-68,2.5314595634944846e-70,5.7058942157509479e-71
3.19419459455724e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608299111668e-11,4.1402917089885466e-14,4.4926908066826508e-20,4.1402917619087175e-14,3.2472994611116862e-20,9.7449397245069595e-21,1.1366808203969513e-38,1.7653331105479989e-35,2.7178688716615584e-41,1.8961886020373963e-59,3.1966641689425071e-62,3.3150381719389934e-66,3.2404135780118958e-68,7.3038711555513794e-69
6.388432513739036e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.570939086223951e-11,8.2806440147764654e-14,1.7970945988872275e-19,8.2806442264676187e-14,1.298933594851006e-19,3.8980173765729635e-20,1.8187009714745456e-37,1.4124123711590706e-34,4.3490302529336289e-40,1.2136628422222381e-57,2.045885899074364e-60,4.1370305460248639e-64,4.14777294043256e-66,9.3490506308188725e-67
1.2776908352102628e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.141895571809666e-11,1.6561361945629646e-13,7.1884149193352722e-19,1.6561362792465125e-13,5.1957655821231275e-19,1.5592163484646635e-19,2.9098795746248431e-36,1.1301431974751218e-33,6.9597238897858408e-39,7.7685186696413586e-56,1.3093581755975985e-58,5.0427617785189691e-62,5.3091149220404895e-64,1.1966700434259407e-64
2.5553860028829813e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808434821663e-10,3.3122851084269426e-13,2.8753732494639086e-18,3.3122854472152369e-13,2.0783153388270597e-18,6.2368929931601991e-19,4.6556095496676937e-35,9.0444779231333272e-33,1.1139533593244062e-37,4.97315575377265e-54,1.1073413830767748e-56,7.7730085031640101e-60,8.9629128167916206e-62,2.0202307098470102e-62
5.110776338228418e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.056763372820778e-10,6.6246042467874891e-13,1.1501507376981639e-17,6.6246056023683264e-13,8.3133024905121155e-18,2.4947697600459543e-18,7.4482917960255685e-34,7.2408818447175833e-32,1.7835889852029263e-36,3.1844644599872102e-52,7.1154492459041023e-55,8.5209717507332056e-58,1.1540011121147002e-59,2.601099972172367e-60
1e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999959497077,4.024365622550955e-10,1.2962139951147839e-12,4.4510253067037137e-17,1.2962145200437183e-12,3.2172296337407459e-17,9.654705336519071e-18,1.1430800946905555e-32,5.5810754045940119e-31,2.7416237280018682e-35,1.953091731158697e-50,4.3631707654035196e-53,8.0549570574033804e-56,1.4148158986099908e-57,3.1889579439923097e-58
1.022155700891929e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999958599728,4.1135282584427254e-10,1.3249327764912775e-12,4.600605679139762e-17,1.3249333190646984e-12,3.325347561609879e-17,9.9791605097641475e-18,1.1915039776154928e-32,5.8011716070140538e-31,2.8577790377025904e-35,2.0401537653988288e-50,4.5576650968867144e-53,8.4161091552493762e-56,1.4784058731737149e-57,3.3322880742438168e-58
2.0443118350301034e-12,0.11224537204646991,0.0,0.0,0.0,0.0,0.99999999917199411,8.2270573374645294e-10,2.6499115757771181e-12,1.8402426993419653e-16,2.6499137487973126e-12,1.3301590080537767e-16,3.9917255741024834e-17,1.9056908574272724e-31,4.654477283535846e-30,4.5853577186845681e-34,1.3083763495932815e-48,2.923167903023771e-51,7.4023424378271592e-54,1.8964063152971356e-55,4.2744115817139448e-56
3.0664679691682777e-12,0.1122453720697049,0.0,0.0,0.0,0.0,0.99999999875799084,1.2340585723837131e-09,3.9749244696857228e-12,3.9105158747336359e-16,3.9749290913570836e-12,2.8266168854235868e-16,8.4825059124578711e-17,7.2641847504798869e-31,1.3334747514224108e-29,1.6903349140089408e-33,7.3023714668439099e-48,1.4513852472728474e-50,3.935923045889847e-53,1.1238874925230541e-54,2.5331826030463225e-55
4.088624103306452e-12,0.11224537209293983,0.0,0.0,0.0,0.0,0.99999999834398745,1.6454113417559175e-09,5.2999714573162438e-12,6.6708799949851316e-16,5.2999793476313754e-12,4.8219212240788862e-16,1.4470296509246842e-16,1.9541985141290512e-30,2.8187063056101435e-29,4.2941187544209597e-33,2.7561633301095557e-47,6.1490683978524532e-50,1.6973666786211888e-52,5.0820022968081356e-54,1.1454544239594328e-54
6.132936371582801e-12,0.11224537213940983,0.0,0.0,0.0,0.0,0.99999999751598045,2.4681167178277243e-09,7.9501454453026229e-12,1.3811209138501424e-15,7.9501618029231694e-12,9.983331820134594e-16,2.9959391481435124e-16,7.9022913023211975e-30,7.7354478274167476e-29,1.507104274549431e-32,2.0082523080792099e-46,5.5668983558007353e-49,1.6114430848800045e-51,5.2864476709623354e-53,1.1915317569821797e-53
8.17724863985915e-12,0.11224537218587981,0.0,0.0,0.0,0.0,0.99999999668797257,3.2908218391309036e-09,1.0600444800404245e-11,2.3489248015517251e-15,1.0600472655586396e-11,1.6979285394612205e-15,5.095385476120468e-16,2.140076589209185e-29,1.6254792263537622e-28,3.7778033479046676e-32,7.3972083596377269e-46,2.201583762137065e-48,6.6242370445733344e-51,2.3724330893054091e-52,5.3472982561434673e-53
1e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999594970357,4.024362610511788e-09,1.2963622566038331e-11,3.4460792232855681e-15,1.2963663490532145e-11,2.4910526846051992e-15,7.4755082605636555e-16,4.9975050708843894e-29,2.9079888201123351e-28,8.433053601068244e-32,3.2106832750195989e-45,9.6254015664291441e-48,3.1528639303999004e-50,1.6072700669511069e-51,3.6226080580594218e-52
1.2265873176411849e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999503195569,4.9362312453537368e-09,1.5901455135734604e-11,5.1178273405719662e-15,1.5901516010345594e-11,3.6995721701364941e-15,1.1102211943575165e-15,1.0723329254136022e-28,5.189556176323903e-28,1.7677559664405788e-31,8.8984864202059072e-45,2.668370957652473e-47,8.9345620473131093e-50,4.8949539910629421e-51,1.1032648626887407e-51
1.6354497712964546e-11,0.11224537237175995,0.0,0.0,0.0,0.0,0.99999999337593692,6.5816395490166831e-09,2.1203008038682461e-11,8.9851810836379074e-15,2.1203115221708687e-11,6.4954248003329049e-15,1.9492427454067978e-15,3.2152319063317784e-28,1.1915107319614207e-27,5.166173668378725e-31,4.131688204333687e-44,1.2831446205016649e-46,4.4327040447014043e-49,2.8473055052142431e-50,6.4174296795179386e-51
2.453174678606994e-11,0.1122453725576405,0.0,0.0,0.0,0.0,0.99999999006389251,9.8724528334178993e-09,3.180774875095211e-11,2.0030420273110579e-14,3.1807989187512068e-11,1.4481154386774989e-14,4.3457259702496363e-15,1.6606481006115565e-27,4.0625613667712583e-27,2.6777220390664522e-30,5.3271308459645542e-43,1.6259304177282586e-45,5.9423778644874311e-48,5.9607982984740357e-49,1.3434266543767541e-49
