Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
5.827460800099209e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.3451835512450036e-16,7.5535080863695371e-19,2.2430080208953123e-29,7.5535080863721805e-19,1.6212367341008262e-29,4.8652285597496316e-30,3.5416068238180352e-57,2.8136033699667007e-49,1.4817676098442737e-59,7.3119359972933268e-87,1.2119843540990734e-89,4.6700756670250958e-98,4.4477096308051885e-100,1.002511133924631e-100,1.2392351394632243e-67,5.1469534310354144e-69,8.4000805176796388e-97
1.6316890240277787e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.5665139434852827e-16,2.1149822642193785e-18,1.3547768446206584e-28,2.1149822642209748e-18,9.7922698741077197e-29,2.9385980501314019e-29,1.1135378506997113e-55,3.3403099306728382e-48,3.3146548818531031e-58,8.2680254744701424e-85,9.3522142700882951e-88,6.5332470093849513e-96,6.2221706290174489e-98,1.4024736212155495e-98,7.1373599925705163e-66,2.96438165078951e-67,1.7181216032480851e-94
3.729574912063494e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.5009174727962922e-15,4.8342451755278596e-18,6.5226673247619024e-28,4.8342451755355433e-18,4.7145564229732978e-28,1.4148084652391272e-28,2.4842416872019386e-54,3.2795361174548519e-47,6.5491995176905463e-57,7.4810836144869822e-83,1.0192500578585899e-85,1.420401883547957e-93,1.3527726932315923e-95,3.0491417325671576e-96,3.2006917962951712e-64,1.3293531536043274e-65,3.1111653138146306e-92
7.925346688134924e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999678,3.1894496296906536e-15,1.0272770998719351e-17,2.8486201865353199e-27,1.0272770998752905e-17,2.058970652523082e-27,6.1788402715426821e-28,4.6527097359642634e-53,2.9007125911891826e-46,1.1653950754972031e-55,5.6680558576178587e-81,8.3380983001112211e-84,2.3274606362340059e-91,2.2166515934985374e-93,4.9963197088327423e-94,1.2041802475968365e-62,5.0013587978902542e-64,4.7194363912418035e-90
1.6316890240277786e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999334,6.566513943474711e-15,2.1149822647400442e-17,1.1892428526771392e-26,2.1149822647540523e-17,8.595797166137875e-27,2.579544182973839e-27,8.0363989946902219e-52,2.438223772517812e-45,1.965609178256448e-54,3.9404578293890296e-79,6.0009898641285657e-82,3.352986613375702e-89,3.1933749926979247e-91,7.1978485229582519e-92,4.169693869055054e-61,1.7318117553104642e-62,6.5658830942465076e-88
3.309997734456351e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.99999999999998679,1.3320642571024167e-14,4.2903925953955096e-17,4.8584450935669114e-26,4.2903925954527353e-17,3.5116636171703049e-26,1.0538279674594247e-26,1.3352597034489928e-50,1.9990032560257361e-44,3.2285191277517502e-53,2.6272492771507588e-77,4.0676662785774006e-80,4.5474414855904137e-87,4.3310304261611322e-89,9.7621171983175224e-90,1.3872834055301043e-59,5.7618467419037269e-61,8.7581615787241771e-86
6.666615155313495e-17,0.1122453720000015,0.0,0.0,0.0,0.0,0.99999999999997313,2.6828899826048427e-14,8.641213260383418e-17,1.9638611866680119e-25,8.6412132606147354e-17,1.4194705814163504e-25,4.2597411391726654e-26,2.1768102895225914e-49,1.6188448199361953e-43,5.2335691190694297e-52,1.7160090036641417e-75,2.6783340607368385e-78,5.989633172414927e-85,5.7047467511249932e-87,1.2858465737261017e-87,4.5260193817846251e-58,1.879805510391184e-59,1.1442737831299084e-83
1.3379849997027784e-16,0.11224537200000305,0.0,0.0,0.0,0.0,0.99999999999994582,5.3845414335798357e-14,1.7342854605067152e-16,7.8965994577948722e-25,1.7342854605997271e-16,5.7076287828038031e-25,1.7128231787329029e-25,3.5155543376641908e-48,1.3029873977953153e-42,8.4285032917684418e-51,1.1094465104761874e-73,1.7385294361809107e-76,7.7762752931797771e-83,7.4068206421064813e-85,1.6694930298587154e-85,1.4623575064834738e-56,6.0736542216818434e-58,1.479726227289878e-81
2.680631968045636e-16,0.11224537200000612,0.0,0.0,0.0,0.0,0.99999999999989131,1.0787844335410384e-13,3.4746137353266303e-16,3.1668895665831482e-24,3.4746137356996496e-16,2.2890144262627936e-24,6.8691870391947233e-25,5.6511506183692069e-47,1.0455657293014262e-41,1.3529619447404224e-49,7.1365241867590261e-72,1.1205277763760912e-74,1.0023473465384551e-80,9.5483110038155521e-83,2.1521836990855774e-83,4.7021205937951401e-55,1.9529461109758918e-56,1.9037464881427702e-79
5.365925904731351e-16,0.1122453720000122,0.0,0.0,0.0,0.0,0.99999999999978273,2.1594450138593747e-13,6.9552703084991324e-16,1.2684076674316458e-23,6.9552703099931551e-16,9.1679971763224964e-24,2.7512577754949334e-24,9.0629063946432464e-46,8.3772556982489588e-41,2.1682685062014213e-48,4.5789543195291032e-70,7.1966575219301303e-73,1.2872779848297447e-78,1.226526277288578e-80,2.7645830274044471e-81,1.508300889684386e-53,6.2644719246360594e-55,2.443022023979824e-77
1.0736513778102783e-15,0.11224537200002438,0.0,0.0,0.0,0.0,0.99999999999956535,4.3207661743049509e-13,1.3916583548974831e-15,5.0769362352789617e-23,1.3916583554954811e-15,3.6695881479022863e-23,1.1012201173785258e-23,1.4517522320814835e-44,6.7069085995528738e-40,3.4720598222072511e-47,2.9342440489958923e-68,4.6139649568896234e-71,1.6499071436554575e-76,1.572737934264885e-78,3.5449420525907379e-79,4.8323659158146024e-52,2.0070410693987816e-53,3.1310618968466737e-75
2.1477689524845647e-15,0.11224537200004886,0.0,0.0,0.0,0.0,0.99999999999912981,8.6434084944317105e-13,2.7839210406448929e-15,2.0314357954978239e-22,2.7839210430376686e-15,1.4683132678435892e-22,4.4063149448579609e-23,2.3241534735453952e-43,5.3675817497147044e-39,5.5575734205148173e-46,1.8791083419168824e-66,2.9555316178168557e-69,2.1118808507777618e-74,2.0148870479515513e-76,4.5415435109553961e-77,1.5472857519747647e-50,6.4263874712985526e-52,4.0103235444768552e-73
4.296004101833137e-15,0.11224537200009765,0.0,0.0,0.0,0.0,0.99999999999825995,1.7288693131627691e-12,5.568446562748803e-15,8.1270659720811981e-22,5.5684465723214865e-15,5.8742093611166485e-22,1.7628129557227242e-22,3.7197234338975719e-42,4.2949073339284287e-38,8.8939797918113038e-45,1.2030147917207811e-64,1.8923683978756002e-67,2.6996231965662157e-72,2.5801936144217688e-74,5.8157410642253957e-75,4.9527976829757848e-49,2.0570594185237741e-50,5.1348721735167306e-71
8.592474400530282e-15,0.11224537200019531,0.0,0.0,0.0,0.0,0.99999999999651989,3.4579262393789458e-12,1.1137498209392897e-14,3.2510909648155184e-21,1.1137498247686951e-14,2.3498751249679373e-21,7.0518261540607117e-22,5.9524122580184183e-41,3.4362943746490317e-37,1.4231984755081105e-43,7.7005772210135881e-63,1.211377931530114e-65,3.4441037352565448e-70,3.3033685355567872e-72,7.4457727540977291e-73,1.5851306408541611e-47,6.5835637525510888e-49,6.573739285982614e-69
1.7185414997924572e-14,0.11224537200039063,0.0,0.0,0.0,0.0,0.99999999999303957,6.9160400869192208e-12,2.2275603912425654e-14,1.3004893023059761e-20,2.2275604065609726e-14,9.3998841461679625e-21,2.8208455997393453e-21,9.5245189083114103e-40,2.7492336280566544e-36,2.2772875918871633e-42,4.9288424289579461e-61,7.7536223937520409e-64,4.3780864509513912e-68,4.2287538584594102e-70,9.5315849679389294e-71,5.0727820000373891e-46,2.106888996367264e-47,8.4151985900226671e-67
3.4371296192713156e-14,0.1122453720007813,0.0,0.0,0.0,0.0,0.99999999998607858,1.3832267762431456e-11,4.455182495746514e-14,5.202063038259839e-20,4.4551825570226833e-14,3.760031086396191e-20,1.1283614821629588e-20,1.5239679082226494e-38,2.1995473044797729e-35,3.6439262764102864e-41,3.1546905881364179e-59,4.9625352532268764e-62,5.5269065949954373e-66,5.4130442694395525e-68,1.2200966359520566e-68,1.6233403493629654e-44,6.7422364956689465e-46,1.0772246415520555e-64
6.874305858229032e-14,0.11224537200156261,0.0,0.0,0.0,0.0,0.99999999997215716,2.7664723035182677e-11,8.910430560340581e-14,2.080846376813354e-19,8.9104308054581211e-14,1.5040284781263406e-19,4.5134941274805639e-20,2.4383593993527659e-37,1.7598318433145257e-34,5.8309112713959914e-40,2.019178513898568e-57,3.1760526597524281e-60,6.8845931772584978e-64,6.9287645738539294e-66,1.5617385272696203e-66,5.1947172949683359e-43,2.1575168771582547e-44,1.3789679552425561e-62
1.3748658336144465e-13,0.11224537200312529,0.0,0.0,0.0,0.0,0.99999999994431366,5.5329633267592061e-11,1.782094211184597e-13,8.3234277945712086e-19,1.7820943092404033e-13,6.0161504625368931e-19,1.8054086619095114e-19,3.9013031249485531e-36,1.4081508156186573e-33,9.3312936512564264e-39,1.2924618980985016e-55,2.0326612705851834e-58,8.3631392254637242e-62,8.8687664599932073e-64,1.9990123384343418e-64,1.6622807644319451e-41,6.9038672918915241e-43,1.7653344891190842e-60
2.749736329197533e-13,0.1122453720062505,0.0,0.0,0.0,0.0,0.99999999988862787,1.1065945248003849e-10,3.5642026903906571e-13,3.329379546599335e-18,3.5642030826812186e-13,2.4064710652305398e-18,7.2216676384339084e-19,6.2417698330172678e-35,1.1269671719861554e-32,1.4935801450181078e-37,8.2740349926198322e-54,1.7190691750203144e-56,1.2815118246023222e-59,1.4972541181919154e-61,3.3747937683909134e-62,5.3190394324445223e-40,2.2090869378256876e-41,2.26024835939277e-58
5.499477320363706e-13,0.11224537201250102,0.0,0.0,0.0,0.0,0.99999999977725529,2.2131908589543979e-10,7.1284443242472991e-13,1.3317534814265606e-17,7.1284458939422355e-13,9.6259345827447172e-18,2.8886824287291963e-18,9.9857553831662981e-34,9.0228415013921106e-32,2.3915509365961501e-36,5.2982590546982595e-52,1.1046615401592668e-54,1.3920384627293045e-57,1.9278248974681861e-59,4.3452848664357963e-60,1.7019149033290658e-38,7.0680648322567297e-40,2.8946834821108585e-56
1e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243656075055969e-10,1.2962147375688178e-12,4.6012931287068269e-17,1.2962152802558733e-12,3.3258468045280412e-17,9.9806588738414409e-18,1.3253536498518373e-32,6.0802871298882717e-31,3.1796233441869707e-35,2.7875695262549431e-50,5.8110510265332529e-53,1.1144599340118216e-55,2.0248354164372193e-57,4.5639228467929456e-58,4.4868284526878215e-37,1.8632389486950411e-38,3.040684936085779e-54
1.0998959302696052e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999955451024,4.4263833268826088e-10,1.4257026292335509e-12,5.3270170675281699e-17,1.4257032575364724e-12,3.8504067462625063e-17,1.1554830664067743e-17,1.5973711048332304e-32,7.2296234656069807e-31,3.8323048929569753e-35,3.3945525930246638e-50,7.0763823433472277e-53,1.3587413872960437e-55,2.4699992633760433e-57,5.5673097594106076e-58,5.4449715299213087e-37,2.2611244649007696e-38,3.7091859097217022e-54
2.1997923267360744e-12,0.1122453720500042,0.0,0.0,0.0,0.0,0.99999999910901971,8.8527674612185351e-10,2.851458501878696e-12,2.1308073083733024e-16,2.8514610184874203e-12,1.5401875596920359e-16,4.6220086188407003e-17,2.5546709475526654e-31,5.8018518235632147e-30,6.1503144368692652e-34,2.1771960512627991e-48,4.5396032261444157e-51,1.1805288508932966e-53,3.1690524510933496e-55,7.142886953251257e-56,1.7416483724163412e-35,7.2313883715591934e-37,4.7579508013072978e-52
3.2996887232025435e-12,0.11224537207500629,0.0,0.0,0.0,0.0,0.99999999866352951,1.3279150793539311e-09,4.2772538522701043e-12,4.5279656708248571e-16,4.2772592050516952e-12,3.2729346653740363e-16,9.8218792200843266e-17,9.7377035799160076e-31,1.6624329275974213e-29,2.2675021620585896e-33,1.2158285733633396e-47,2.2540918457248371e-50,6.2581552527267495e-53,1.8782011353412234e-54,4.2333586545094242e-55,8.1728046288654521e-35,3.3931699366393842e-36,3.1121011625634505e-51
4.399585119669013e-12,0.11224537210000839,0.0,0.0,0.0,0.0,0.99999999821803898,1.7705533323843237e-09,5.7030886792853761e-12,7.7241766706283198e-16,5.7030978183348971e-12,5.5832979844299464e-16,1.6755144015118161e-16,2.6195551172877796e-30,3.5146260446856854e-29,5.7610666414035007e-33,4.5723876614501607e-47,9.5510131360927978e-50,2.6964262718283419e-52,8.4937088351117025e-54,1.914430390625599e-54,2.5473402895753061e-34,1.0575436684712053e-35,1.3026503297086642e-50
6.599377912601951e-12,0.11224537215001266,0.0,0.0,0.0,0.0,0.99999999732705769,2.6558296500872148e-09,8.5548509786387499e-12,1.599192592206626e-15,8.5548699269483317e-12,1.1559704119297542e-15,3.4689996103596324e-16,1.0592410681207227e-29,9.6487198380300877e-29,2.0225068374478044e-32,3.2939534061608558e-46,8.6501806884141766e-49,2.5551607881913828e-51,8.8384187956791585e-53,1.9921196467640573e-53,1.2548114371059283e-33,5.2089735560737561e-35,1.0867100474689851e-49
8.79917070553489e-12,0.11224537220001692,0.0,0.0,0.0,0.0,0.9999999964360754,3.5411056727945812e-09,1.1406758438089412e-11,2.7198075716342886e-15,1.1406790708000704e-11,1.966034392816204e-15,5.8999565135289696e-16,2.8685068411169324e-29,2.0281726496111587e-28,5.070948420026051e-32,1.2114493880448955e-45,3.4216624145277061e-48,1.048479928465178e-50,3.9672232709849507e-52,8.941824510772162e-53,3.9365432087970336e-33,1.6340259155913608e-34,4.5471741782275053e-49
1e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999594970324,4.0243625893288059e-09,1.2963633018132327e-11,3.4672361027303918e-15,1.2963674195149493e-11,2.5063471859607544e-15,7.5214062601147796e-16,4.9650348530563771e-29,2.9357106249997635e-28,8.5042355336834024e-32,3.3286868329153893e-45,9.4550377131369991e-48,3.0892315104559094e-50,1.5748572367912201e-51,3.5495506387153231e-52,8.3785701635084646e-33,3.4772685588558028e-34,1.7547844504339635e-48
1.3198756291400766e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999465410949,5.3116567497638387e-09,1.7111049966282701e-11,5.9259050494081786e-15,1.7111120504901944e-11,4.2837526346525255e-15,1.2855308003268991e-15,1.4371281300643208e-28,6.4804869415972977e-28,2.3746968519400949e-31,1.4605812016321643e-44,4.1509752813048717e-47,1.4066624469290798e-49,8.1932991638852637e-51,1.8466659614396859e-51,3.0474678077743236e-32,1.2645545395308178e-33,9.047303021481617e-48
1.7598341877266642e-11,0.11224537240003428,0.0,0.0,0.0,0.0,0.99999999287214114,7.0822065500824697e-09,2.281596971511516e-11,1.0403893223844955e-14,2.2816093940556018e-11,7.5211034581480662e-15,2.2570441257988212e-15,4.3085714993093762e-28,1.488928464842346e-27,6.9439134978428446e-31,6.7894924267842084e-44,1.9970730516609077e-46,6.9689562412905227e-49,4.7679692509227255e-50,1.0746289685156408e-50,1.1520454960570863e-31,4.7794020680619189e-33,5.1169620791391707e-47
2.6397513048998395e-11,0.11224537260005203,0.0,0.0,0.0,0.0,0.99999998930819722,1.062330230311178e-08,3.4227702189425193e-11,2.3193116006444493e-14,3.4227980986124335e-11,1.676793710279796e-14,5.0319807500140583e-15,2.2247162112798015e-27,5.0843131633779967e-27,3.6043360691535414e-30,8.7816595984696608e-43,2.5346823407881722e-45,9.3240102822058168e-48,9.9979999285408327e-49,2.2533018792535716e-49,9.3596305968213304e-31,3.8802962748960158e-32,1.0836187481259934e-45
4.39958553924619e-11,0.11224537300008884,0.0,0.0,0.0,0.0,0.99999998218027886,1.7705478414469115e-08,5.705873859756647e-11,6.4108427456693329e-14,5.7059520092031794e-11,4.6356345177250204e-14,1.3911384216293112e-14,1.8100207423396502e-26,2.5013101854588027e-26,3.1177900095638512e-29,2.3741832827756575e-41,6.4867279021162714e-44,2.4862392268501918e-46,4.9173722015774049e-47,1.1081413756423601e-47,1.3946292465872202e-29,5.7725800904673989e-31,5.6262391650365161e-44
7.919254007938891e-11,0.11224537380016736,0.0,0.0,0.0,0.0,0.99999996792432411,3.1869769038968547e-08,1.027510862017914e-10,2.0730279567812328e-13,1.0275368561828995e-10,1.4995143412100691e-13,4.5000328033123021e-14,1.9872249935791925e-25,1.6283859152754165e-25,3.8519922893301242e-28,1.0218941244144996e-39,2.6734704689192329e-42,1.0489206221022475e-44,4.011460987351766e-45,9.038054985447819e-46,2.9762672571064907e-28,1.2278616930416732e-29,4.7964693490653482e-42
9.999999999999999e-11,0.11224537460025255,0.0,0.0,0.0,0.0,0.99999995949646092,4.0243329003718654e-08,1.2978231161343379e-10,3.3043813196234037e-13,1.2978651859136721e-10,2.390666749986413e-13,7.1744120051756996e-14,4.9593444116710688e-25,3.3991681020010926e-25,9.8607723997981265e-28,3.7942442498022599e-39,1.0673070980462478e-41,4.2014960829588523e-44,1.8325422567998589e-44,4.1286001906608963e-45,8.9624277678295855e-28,3.6928844876796803e-29,2.0601970903181156e-41
1.1438922476631592e-10,0.11224537460025255,0.0,0.0,0.0,0.0,0.99999995366821048,4.6033977527875972e-08,1.4848377566247683e-10,4.3231608334090542e-13,1.4848932591736554e-10,3.1280713288683343e-13,9.3873963773571943e-14,7.8423267052476263e-25,5.0392207083916321e-25,1.5717979072954686e-27,6.6598747252269006e-39,1.901160359739744e-41,7.4886619657267786e-44,3.3427080475371108e-44,7.5308397615499878e-45,1.4974889201277772e-27,6.1682297363196569e-29,3.7183457266125302e-41
1.8478259414016993e-10,0.11224537620044288,0.0,0.0,0.0,0.0,0.99999992515550729,7.4362148061968039e-08,2.4006999638760091e-10,1.1278058278280043e-12,2.4008522025774989e-10,8.1657503702535848e-13,2.4506018804605555e-13,5.3915759829962598e-24,2.4491128252674098e-24,1.2472266723706238e-26,1.5302520689955354e-37,4.4838109917144493e-40,1.7816563532424984e-42,1.3698494627374727e-42,3.0850408847520095e-43,1.7193342003745923e-26,7.0419660850379709e-28,1.4652720522523152e-39
