Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
6.212089209381855e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4999740656153014e-16,8.0520571791555668e-19,2.5488707503372287e-29,8.0520571791585693e-19,1.8423130244877303e-29,5.5286579581345221e-30,4.5733487395475113e-57,3.4083029112305875e-49,1.9134350732277763e-59,1.072958701241087e-86,1.7784744616114381e-89,7.3052121482807808e-98,6.9573715389977322e-100,1.5681877796898102e-100,1.7058699729781919e-67,7.0850437402745159e-69,1.3805710221115876e-96,5.3789691652067228e-88,8.5584742577061001e-85,4.4836584750925624e-98
1.7393849786269194e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.9999273837220116e-16,2.2545760102043623e-18,1.5395179332035504e-28,2.2545760102061758e-18,1.1127570668073939e-28,3.3393094067648804e-29,1.4379340167183629e-55,4.0463372289303524e-48,4.2802777342588854e-58,1.2132559524619319e-84,1.3723505741254611e-87,1.0219695867055791e-95,9.733088813359499e-98,2.1938329860735094e-98,9.8249377455868509e-66,4.0806224379997312e-67,2.8136963117596646e-94,5.6302095401799498e-86,8.9582222017527829e-83,8.4923816342381496e-96
3.975737094004387e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5999834019932121e-15,5.1533165949451929e-18,7.4121161419786327e-28,5.1533165949539243e-18,5.3574462754623988e-28,1.6077337343029657e-28,3.2079516877990945e-54,3.9727179113231618e-47,8.4571075670868568e-57,1.0977795431082782e-82,1.4956547845725634e-85,2.2218773579709957e-93,2.1160873835286702e-95,4.7696495750564359e-96,4.4059144659171478e-64,1.8299223734507621e-65,5.0933047647663529e-92,5.0577036897403892e-84,8.0473083162629583e-81,1.5262042331591544e-93
8.448441324759323e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3999647292339088e-15,1.0950797765079724e-17,3.2370658529261843e-27,1.0950797765117855e-17,2.3397375413598999e-27,7.0213956076311278e-28,6.0081384696040387e-53,3.5138240479885942e-46,1.5048971240808156e-55,8.3173455787033654e-81,1.2235384749736385e-83,3.6407519353118424e-91,3.4674180615397655e-93,7.815541637947081e-94,1.6576151374616504e-62,6.884625304989026e-64,7.7245864855166485e-90,3.8138818298949162e-82,6.0682639666754885e-79,2.3041954124127081e-91
1.7393849786269195e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999301,6.9999273837100008e-15,2.254576010796028e-17,1.3514112718269131e-26,2.2545760108119467e-17,9.7679436581782958e-27,2.9312944501231817e-27,1.0377565050568336e-51,2.9535809117593299e-45,2.5382290230656759e-54,5.7822559199133559e-79,8.8058952044086013e-82,5.2449380784825605e-89,4.995266804500434e-91,1.1259304465781938e-91,5.7397949254141134e-61,2.3839271510809908e-62,1.0745503514441705e-87,2.6443650751633387e-80,4.2074463805240139e-77,3.1971176870545485e-89
3.5284666709288934e-17,0.1122453720000008,0.0,0.0,0.0,0.0,0.99999999999998579,1.4199852692640979e-14,4.5735684804167344e-17,5.5209560000444883e-26,4.5735684804817667e-17,3.9905237055462877e-26,1.1975294289735893e-26,1.7242479417654379e-50,2.4215242033212227e-44,4.1690489988449701e-53,3.8552443329473371e-77,5.9689224203629738e-80,7.1133678524015775e-87,6.7748549881445775e-89,1.5270486634914789e-89,1.9096659126086769e-59,7.9314757150761044e-61,1.4332432071277141e-85,1.7606598595489308e-78,2.8013832798528264e-75,4.258669459851873e-87
7.106630055532841e-17,0.1122453720000016,0.0,0.0,0.0,0.0,0.99999999999997147,2.8599703310418113e-14,9.2115534238365294e-17,2.2316586877031302e-25,9.2115534240994e-17,1.6130334855969112e-25,4.8406054229450232e-26,2.8109592825273389e-49,1.9610132829654539e-43,6.7582087535435919e-52,2.5180838645714517e-75,3.9302064381784111e-78,9.3693093643102374e-85,8.9237036254438069e-87,2.0113979872661315e-87,6.2302950437600005e-58,2.5876480935871506e-59,1.8725067502633569e-83,1.1491850620707905e-76,1.8284657291531976e-73,5.560127902301943e-85
1.426295682474074e-16,0.11224537200000326,0.0,0.0,0.0,0.0,0.99999999999994205,5.7399404545633045e-14,1.8487523327389632e-16,8.9734014312857222e-25,1.8487523328446626e-16,6.4859367084732723e-25,1.9463861528618336e-25,4.5397066196919835e-48,1.5783944177696966e-42,1.0883889011294033e-50,1.6280097440888115e-73,2.5511304431174577e-76,1.2164027448052834e-82,1.1586188637475726e-84,2.6115206719376748e-85,2.0130092119890039e-56,8.3606945740181726e-58,2.4214084490557657e-81,7.4271891162658644e-75,1.1817371870496791e-71,7.1875753871865519e-83
2.857561036315653e-16,0.11224537200000652,0.0,0.0,0.0,0.0,0.9999999999998842,1.1499880701470571e-13,3.7039463201349942e-16,3.5987353190908421e-24,3.7039463205588969e-16,2.6011507160636657e-24,7.8058790319165935e-25,7.2974453858475986e-47,1.2665626353698188e-41,1.7471059208035053e-49,1.0472186798183622e-71,1.6442704064984561e-74,1.5679089228292866e-80,1.4936034911352127e-82,3.3665742114809058e-83,6.4727072529496699e-55,2.688329839129649e-56,3.1152466596667523e-79,4.7767126095727856e-73,7.600193802863005e-70,9.2455585037120977e-81
5.720091743998811e-16,0.112245372000013,0.0,0.0,0.0,0.0,0.99999999999976852,2.3019761194742225e-13,7.4143343216686954e-16,1.4413712179771649e-23,7.4143343233665203e-16,1.0418170437255388e-23,3.1264231508329833e-24,1.1703114719289061e-45,1.0147922120350179e-40,2.7999271862729326e-48,6.7191906381208493e-70,1.0560426143774408e-72,2.0135785445556504e-78,1.918605189620746e-80,4.3245257360694779e-81,2.0762525856914607e-53,8.6233647454764111e-55,3.9976897211980393e-77,3.064586420656422e-71,4.8760224367436289e-68,1.1863503808119791e-78
