Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
6.212088123453401e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4999740656022162e-16,8.0520592103265528e-19,2.5488703047586068e-29,8.0520592103295544e-19,1.8423127270545976e-29,5.5286583863068191e-30,4.5733472017151249e-57,3.4083031771679378e-49,1.913434097132053e-59,1.0729579896032511e-86,1.7784740023594273e-89,7.3052089848694439e-98,6.9573741842807029e-100,1.5681874139632792e-100,1.7058688230011629e-67,7.0850401193323327e-69,1.3805679453981081e-96,5.3789671936306077e-88,8.5584697523979279e-85,4.4836577301941671e-98
1.7393846745669523e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.9999273836853769e-16,2.2545765789322391e-18,1.5395176640740634e-28,2.2545765789340518e-18,1.112756887157782e-28,3.3393096653809484e-29,1.4379335331992552e-55,4.0463375446511771e-48,4.280275550771791e-58,1.2132551458158686e-84,1.3723502197460361e-87,1.0219691441588618e-95,9.7330925140062831e-98,2.1938324744364888e-98,9.8249311223079502e-66,4.0806203525224294e-67,2.8136900342782818e-94,5.6302074765155662e-86,8.9582174860114025e-83,8.4923802233453646e-96
3.9757363990101766e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5999834019848385e-15,5.1533178948946249e-18,7.4121148462360069e-28,5.1533178949033548e-18,5.3574454105268485e-28,1.6077338588154701e-28,3.2079506090945665e-54,3.9727182212997399e-47,8.4571032528842776e-57,1.0977788130794283e-82,1.4956543983525325e-85,2.2218763958327374e-93,2.1160881880925775e-95,4.7696484626977005e-96,4.4059114957608942e-64,1.8299214382352093e-65,5.093293400188319e-92,5.0577018359189201e-84,8.0473040800402014e-81,1.5262039796012411e-93
8.448439847896625e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3999647292161149e-15,1.0950800527472267e-17,3.2370652870413362e-27,1.0950800527510397e-17,2.3397371636198211e-27,7.0213961514099465e-28,6.0081364493098437e-53,3.5138243221593699e-46,1.5048963563915079e-55,8.3173400468441774e-81,1.2235381590216769e-83,3.6407503587864748e-91,3.467419379897153e-93,7.8155398152375083e-94,1.6576140200146365e-62,6.8846217864743881e-64,7.7245692486936985e-90,3.813880431976622e-82,6.0682607722511075e-79,2.3041950296022122e-91
1.7393846745669522e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999301,6.9999273836733653e-15,2.2545765795239042e-17,1.3514110355811284e-26,2.2545765795398226e-17,9.7679420811878242e-27,2.9312946771401343e-27,1.0377561561012536e-51,2.9535811422163948e-45,2.5382277282454195e-54,5.7822520738344527e-79,8.8058929304794478e-82,5.2449358073881727e-89,4.9952687037657855e-91,1.1259301839931738e-91,5.7397910560498949e-61,2.3839259327310898e-62,1.0745479535793496e-87,2.6443641059128463e-80,4.2074441656616788e-77,3.1971171558972121e-89
3.528466054121532e-17,0.1122453720000008,0.0,0.0,0.0,0.0,0.99999999999998579,1.4199852692566662e-14,4.5735696341218535e-17,5.520955034903373e-26,4.5735696341868864e-17,3.9905230612942233e-26,1.1975295217174218e-26,1.7242473619705262e-50,2.421524392263857e-44,4.1690468720987029e-53,3.8552417685185644e-77,5.9689208790198256e-80,7.1133647724777486e-87,6.7748575640325406e-89,1.5270483073592781e-89,1.9096646252468376e-59,7.9314716615492974e-61,1.4332400087769983e-85,1.760659214206524e-78,2.8013818051630124e-75,4.2586687523321391e-87
7.106628813230691e-17,0.1122453720000016,0.0,0.0,0.0,0.0,0.99999999999997147,2.8599703310268431e-14,9.2115557474961375e-17,2.2316582975776603e-25,9.2115557477590069e-17,1.6130332251799255e-25,4.8406057978304225e-26,2.8109583373153126e-49,1.9610134359761128e-43,6.758205305995901e-52,2.5180821895593765e-75,3.9302054232889714e-78,9.3693053081784063e-85,8.9237070183521312e-87,2.0113975181759494e-87,6.2302908437352521e-58,2.5876467711219231e-59,1.8725025716348181e-83,1.1491846408546919e-76,1.8284647666216475e-73,5.5601269785624022e-85
1.426295433144901e-16,0.11224537200000326,0.0,0.0,0.0,0.0,0.99999999999994205,5.7399404545332634e-14,1.8487527990958216e-16,8.9733998626083659e-25,1.8487527992015201e-16,6.4859356613480235e-25,1.9463863036016024e-25,4.539705093172077e-48,1.5783945409260118e-42,1.0883883459123662e-50,1.6280086611366671e-73,2.5511297843441843e-76,1.2164022183500979e-82,1.1586193042695961e-84,2.6115200628893831e-85,2.0130078549604114e-56,8.3606903011312583e-58,2.4214030454889627e-81,7.4271863939408979e-75,1.1817365649656493e-71,7.1875741930680787e-83
2.8575605367885643e-16,0.11224537200000652,0.0,0.0,0.0,0.0,0.9999999999998842,1.1499880701410388e-13,3.7039472544736472e-16,3.5987346899810614e-24,3.7039472548975471e-16,2.6011502961196052e-24,7.8058796364504803e-25,7.29744293201157e-47,1.2665627341950467e-41,1.7471050295568461e-49,1.0472179832048743e-71,1.6442699819019486e-74,1.567908244619805e-80,1.4936040590228805e-82,3.3665734263423353e-83,6.4727028895077254e-55,2.6883284652092256e-56,3.1152397077277048e-79,4.776710858736308e-73,7.6001898020079346e-70,9.2455569676857656e-81
5.720090744075891e-16,0.112245372000013,0.0,0.0,0.0,0.0,0.99999999999976852,2.3019761194621748e-13,7.4143361919709346e-16,1.4413709660051107e-23,7.4143361936687457e-16,1.0418168755288707e-23,3.1264233929618548e-24,1.1703110784004422e-45,1.014792291215525e-40,2.7999257579532634e-48,6.7191861684810449e-70,1.0560423416779251e-72,2.0135776745353439e-78,1.9186059190999315e-80,4.3245247275220458e-81,2.0762511860286439e-53,8.6233603383474858e-55,3.9976808000013724e-77,3.0645852973704709e-71,4.8760198699328531e-68,1.1863501837152133e-78
