Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
6.690624837828634e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6925544713800755e-16,8.6723309892551029e-19,2.9566900703911631e-29,8.6723309892585898e-19,2.1370831084083414e-29,6.4132432314439557e-30,6.1538980637062112e-57,4.2581913110094539e-49,2.5747182349097136e-59,1.6747769440263278e-86,2.7760136719152277e-89,1.2281057382374427e-97,1.1696290824741902e-99,2.6363376220792131e-100,2.4722415307665998e-67,1.0268038982590594e-68,2.3209282537304568e-96,8.3960114367648893e-88,1.3358888234379437e-84,7.5376416492638543e-98,1.4950747262360098e-113,-3.2441767398956898e-184,-3.8652719385192956e-155,-1.4326212684855005e-163
1.8733749545920175e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.5391525198632484e-16,2.4282526770387621e-18,1.7858408025160936e-28,2.428252677040866e-18,1.290798197499634e-28,3.8735989118566546e-29,1.9348840127646305e-55,5.0553247415429559e-48,5.7595417213884212e-58,1.8937663636102168e-84,2.1420965212022448e-87,1.7180700694776714e-95,1.6362650286919918e-97,3.6881325781907935e-98,1.4238845583702505e-65,5.9138647270064813e-67,4.7302074060149837e-94,8.788171566094329e-86,1.3982853200984551e-82,1.4276852244366148e-95,5.4942607231409076e-111,6.3254432998924922e-181,7.2183286870531418e-152,4.8142792655051683e-160
4.281999896210326e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7232348616825753e-15,5.5502918334545999e-18,8.5980547246949731e-28,5.550291833464728e-18,6.214637679566396e-28,1.864971131800662e-28,4.3166197905124398e-54,4.9633478432357165e-47,1.1379883952019406e-56,1.7135196987070663e-82,2.334561569734184e-85,3.7352779329987264e-93,3.5574316122047373e-95,8.0184317100831565e-96,6.3852960044647882e-64,2.6520251606100814e-65,8.5625402532746533e-92,7.8945494912843525e-84,1.2561011360131495e-80,2.5657575555263914e-93,1.9890195283504231e-108,1.0601335854970305e-176,3.0047386874592367e-148,4.0097074401903307e-156
9.099249779446942e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.66187408107354e-15,1.1794370147043604e-17,3.7549963893941618e-27,1.1794370147087837e-17,2.7140955480040309e-27,8.1448189049336705e-28,8.0845511224796332e-53,4.3900250197978666e-46,2.0249895738328865e-55,1.2982511460678025e-80,1.9098163101919123e-83,6.1205972710455042e-91,5.8292028569117275e-93,1.3138991847936016e-93,2.4023079418894685e-62,9.977581449228591e-64,1.2986083855789553e-89,5.9530729453534383e-82,9.4719289502944124e-79,3.8736668829522076e-91,6.0360312679705854e-106,1.2695957485228134e-172,8.5052501214562995e-145,2.2701137424104519e-152
1.8733749545920176e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999245,7.5391525198493163e-15,2.4282526777250937e-17,1.5676370753190402e-26,2.4282526777435598e-17,1.1330814643709958e-26,3.400301562211447e-27,1.3964051524359576e-51,3.6900806497763911e-45,3.4154409861482759e-54,9.025500159862028e-79,1.3745086584588823e-81,8.8174465025885131e-89,8.3977250493936091e-91,1.8928427019095659e-91,8.3184296636943106e-61,3.4549196588833034e-62,1.8064657598130766e-87,4.1275789434811571e-80,6.5673862224865739e-77,5.3747910714658993e-89,1.6797656364505691e-103,1.2542165940445473e-168,2.0337026437344652e-141,1.0856555374023291e-148
3.8002749078866644e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.99999999999998479,1.5293709397376269e-14,4.9258840049782926e-17,6.4043089600501365e-26,4.9258840050537305e-17,4.6290074986166358e-26,1.3891341376655696e-26,2.3201480278827484e-50,3.0253512288483303e-44,5.6098723751426832e-53,6.0176354902299141e-77,9.316867109017662e-80,1.1958514696818205e-86,1.1389455579674177e-88,2.567177150042225e-89,2.7675939250638909e-59,1.149473520595295e-60,2.4094774009102808e-85,2.7482070336127454e-78,4.3726679518834877e-75,7.1594044759927798e-87,4.4815876199978367e-101,1.1270738413426038e-164,4.4931633124750039e-138,4.7972705701986132e-145
7.654074814475958e-17,0.11224537200000173,0.0,0.0,0.0,0.0,0.99999999999996925,3.0802823152331775e-14,9.9211466643316121e-17,2.5887240777344391e-25,9.9211466646365438e-17,1.8711188434405697e-25,5.6151022910713983e-26,3.7824268022272722e-49,2.4500081329278008e-43,9.0938458367720607e-52,3.9304670739372815e-75,6.1346434812102669e-78,1.5751015691895735e-84,1.5001963290200024e-86,3.381434439333613e-87,9.0292896690268731e-58,3.7501633576190764e-59,3.1479393769221169e-83,1.7937585000682873e-76,2.8540448374167911e-73,9.3473337807930776e-85,1.1711052922353806e-98,9.6672926286390017e-161,9.5538939474750743e-135,2.0401220199454182e-141
1.5361674627654543e-16,0.1122453720000035,0.0,0.0,0.0,0.0,0.99999999999993783,6.1821050661849209e-14,1.9911672002425934e-16,1.0409145660281853e-24,1.9911672003652046e-16,7.5236865830214548e-25,2.2578079376860896e-25,6.1086292005063073e-48,1.971980126355915e-42,1.4645361499503658e-50,2.5411539521437393e-73,3.9820492691120486e-76,2.044920361827716e-82,1.947796376457397e-84,4.3903225301340077e-85,2.9173647660176153e-56,1.2116782966675167e-57,4.0707180931424074e-81,1.1593071513558592e-74,1.8445688413971567e-71,1.2083295286351188e-82,3.0289074858278189e-96,8.102893379145956e-157,1.9935073808170609e-131,8.5138360093790704e-138
3.0776874254011713e-16,0.112245372000007,0.0,0.0,0.0,0.0,0.99999999999987532,1.2385750567930966e-13,3.9892722756165329e-16,4.1745329701376805e-24,3.9892722761082595e-16,3.0173348315907246e-24,9.0548196799630649e-25,9.819442424536877e-47,1.582390558686176e-41,2.3509058704142067e-49,1.6345995188982546e-71,2.5665350555832191e-74,2.6358208310829881e-80,2.5109512142771461e-82,5.6596704900598343e-83,9.3806068482910082e-55,3.8960769018482018e-56,5.2371549670652437e-79,7.4559538355690294e-73,1.1863112017120929e-69,1.5543046295484412e-80,7.7937798850833287e-94,6.7141447063570277e-153,4.120890125930615e-128,3.5198890282659936e-134
6.160727350672605e-16,0.11224537200001403,0.0,0.0,0.0,0.0,0.99999999999975031,2.4793041570793311e-13,7.9854824573847108e-16,1.6719906128473449e-23,7.9854824593541869e-16,1.2085077714882871e-23,3.6266508573216897e-24,1.574771088829749e-45,1.2678391671044702e-40,3.7675824817767331e-48,1.0487958695262658e-69,1.6483726353066402e-72,3.3849770221379964e-78,3.2254369893793424e-80,7.270117552415165e-81,3.009020537499757e-53,1.2497458949947439e-54,6.7206626003709625e-77,4.7835035497398745e-71,7.610963803244791e-68,1.9944171076484457e-78,2.0003163324655951e-91,5.5316177900542155e-149,8.4789022253291122e-125,1.4484620085267473e-130
