Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
4.3038609003665977e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.7320328396910815e-16,5.5786302631086043e-19,1.2234577462841664e-29,5.5786302631100449e-19,8.8431010898195738e-30,2.6537560254142182e-30,1.0536991954598256e-57
1.2050810521026474e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.8496919511346306e-16,1.5620164736899957e-18,7.3896847875559179e-29,1.562016473690866e-18,5.3412330583069107e-29,1.6028686393673584e-29,3.3129988615529585e-56
2.754470976234623e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.108501017402014e-15,3.5703233685266114e-18,3.5578151261936835e-28,3.5703233685308022e-18,2.5715737970033639e-28,7.7171225221621041e-29,7.3911182081149624e-55
5.853250824498573e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999767,2.3555646619784796e-15,7.5869371585132216e-18,1.5537913377801958e-27,7.5869371585315225e-18,1.1230738384937113e-27,3.3702701525421974e-28,1.3842746397120566e-53
1.2050810521026474e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.99999999999999512,4.849691951128866e-15,1.5620164739739953e-17,6.4867729707923867e-27,1.5620164739816358e-17,4.6886121986019636e-27,1.407021444914144e-27,2.3909901898588641e-52
2.4445929914082276e-17,0.11224537200000055,0.0,0.0,0.0,0.0,0.99999999999999012,9.8379465294194594e-15,3.168661990720747e-17,2.650058416756049e-26,3.1686619907519625e-17,1.9154510691193603e-26,5.7481417033161942e-27,3.9726659426125592e-51
4.923616870019388e-17,0.11224537200000109,0.0,0.0,0.0,0.0,0.99999999999998024,1.9814455685959931e-14,6.3819530262198746e-17,1.0711959828392439e-25,6.3819530263460516e-17,7.7425594784190504e-26,2.3234907822075452e-26,6.4764480764870816e-50
9.881664627241709e-17,0.11224537200000229,0.0,0.0,0.0,0.0,0.99999999999995981,3.9767473998877991e-14,1.2808535105240615e-16,4.3072319340678421e-25,1.280853510574797e-16,3.1132491154794284e-25,9.3426542512425288e-26,1.0459480752154056e-48
1.979776014168635e-16,0.1122453720000045,0.0,0.0,0.0,0.0,0.99999999999991995,7.9673510624062689e-14,2.5661699295372071e-16,1.7273926512036089e-24,2.566169929740679e-16,1.2485521405585171e-24,3.7468222206453687e-25,1.6813309214663728e-47
3.9629951170575634e-16,0.11224537200000902,0.0,0.0,0.0,0.0,0.99999999999983957,1.5948558387182621e-13,5.1368027803994812e-16,6.918580636926271e-24,5.1368027812144307e-16,5.0007209898882159e-24,1.5006832247350966e-24,2.6963969489518252e-46
7.92943332283542e-16,0.11224537200001805,0.0,0.0,0.0,0.0,0.99999999999967859,3.1910973035692962e-13,1.027806853346797e-15,2.7692352888284399e-23,1.0278068536729888e-15,2.0015916328792009e-23,6.006643827387077e-24,4.3192552023564854e-45
1.5862309734391132e-15,0.11224537200003604,0.0,0.0,0.0,0.0,0.99999999999935762,6.383580232854431e-13,2.0560600244980708e-15,1.1080548250582619e-22,2.0560600258032652e-15,8.0089738167658772e-23,2.4034399606298655e-23,6.914825509030645e-44
3.172806255750256e-15,0.11224537200007213,0.0,0.0,0.0,0.0,0.99999999999871481,1.276854608975694e-12,4.1125664489509171e-15,4.4329408216160478e-22,4.1125664541725554e-15,3.2041111129028131e-22,9.6153250933465453e-23,1.1066930768546908e-42
6.345956820372541e-15,0.11224537200014427,0.0,0.0,0.0,0.0,0.99999999999742961,2.5538477796890962e-12,8.2255796264577786e-15,1.7733206428470896e-21,8.2255796473461117e-15,1.281748813720298e-21,3.8464432446448042e-22,1.7709642102008693e-41
1.2692257949617112e-14,0.11224537200028852,0.0,0.0,0.0,0.0,0.99999999999485922,5.1078341184474961e-12,1.6451607295875955e-14,7.0935712072429451e-21,1.6451607379433348e-14,5.1272043505610924e-21,1.5386400494277054e-21,2.8337420190116051e-40
2.5384860208106253e-14,0.11224537200057702,0.0,0.0,0.0,0.0,0.99999999998971845,1.0215806785290683e-11,3.2903667892328425e-14,2.8374862088367599e-20,3.2903668226570021e-14,2.0509238410098317e-20,6.1546865661149319e-21,4.5341307787840881e-39
5.077006472508454e-14,0.11224537200115406,0.0,0.0,0.0,0.0,0.99999999997943678,2.0431752076282597e-11,6.580781011568398e-14,1.1350060270181587e-19,6.5807811452705737e-14,8.2037818136043106e-20,2.4619005907784239e-20,7.2546732577920179e-38
1.015404737590411e-13,0.11224537200230818,0.0,0.0,0.0,0.0,0.99999999995887301,4.0863642487488564e-11,1.3161617868408712e-13,4.5400471806844585e-19,1.316161840325354e-13,3.2815318132278996e-19,9.8476598154377411e-20,1.1607365773470136e-36
2.0308129182695423e-13,0.11224537200461632,0.0,0.0,0.0,0.0,0.99999999991774613,8.172742262678901e-11,2.6323325230677851e-13,1.816023475240144e-18,2.6323327370329842e-13,1.3126179810914177e-18,3.9390798354216039e-19,1.8571175588727316e-35
4.061629279627805e-13,0.11224537200923264,0.0,0.0,0.0,0.0,0.99999999983549204,1.6345498017294317e-10,5.2646874548863576e-13,7.264103014373366e-18,5.2646883109620298e-13,5.2504939418019983e-18,1.5756386510443693e-18,2.9711727976660374e-34
8.123262002344331e-13,0.11224537201846525,0.0,0.0,0.0,0.0,0.99999999967098396,3.2691008433545827e-10,1.0529451155417215e-12,2.9056429544088298e-17,1.0529454581432364e-12,2.100211184781317e-17,6.3025963183915078e-18,4.7531714965688558e-33
1e-12,0.11224537203693055,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694381511831e-10,1.2962163523203866e-12,4.9195371432180744e-17,1.2962169326943094e-12,3.5558853533848921e-17,1.0670980856373193e-17,2.1219985568038225e-32
1.6246527447777381e-12,0.11224537203693055,0.0,0.0,0.0,0.0,0.99999999934196782,6.5382024894126579e-10,2.1059193899531875e-12,1.1622574722763517e-16,2.1059207617278677e-12,8.4009455903840521e-17,2.5210694949947181e-17,7.6028065431315446e-32
2.436979289321043e-12,0.1122453720553958,0.0,0.0,0.0,0.0,0.99999999901295122,9.8073036980089285e-10,3.1589151981311422e-12,2.4697972455737894e-16,3.1589181151618799e-12,1.7852155249311424e-16,5.3573174845664081e-17,2.8981699950762914e-31
4.061632378407653e-12,0.11224537209232636,0.0,0.0,0.0,0.0,0.99999999835491837,1.6345504366425885e-09,5.2649929462823448e-12,6.8282627637724215e-16,5.2650010253387875e-12,4.9356990994587336e-16,1.4811724353589443e-16,2.3820567830342401e-30
5.5238201585856015e-12,0.11224537212556392,0.0,0.0,0.0,0.0,0.99999999776268811,2.2229883554340483e-09,7.160532490170506e-12,1.2159112331794945e-15,7.1605468934830027e-12,8.7891393633154603e-16,2.6375666349318947e-16,6.9458743011245587e-30
6.98600793876355e-12,0.11224537215880147,0.0,0.0,0.0,0.0,0.99999999717045795,2.8114261246328816e-09,9.0561456700503672e-12,1.8980544815549239e-15,9.0561681804502683e-12,1.3720161954206321e-15,4.1173375469372397e-16,1.5889308979260506e-29
8.4481957189415e-12,0.11224537219203898,0.0,0.0,0.0,0.0,0.99999999657822702,3.3998637525058964e-09,1.0951828404289452e-11,2.7209990570346182e-15,1.0951860710965786e-11,1.966911199424541e-15,5.9025833274110129e-16,3.1415243011243497e-29
1e-11,0.11224537225851411,0.0,0.0,0.0,0.0,0.99999999594969891,4.0243662073164591e-09,1.2963754081735142e-11,3.7114538040424665e-15,1.2963798194995968e-11,2.6829086892685109e-15,8.051251568356608e-16,5.7146049953431582e-29
