Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
4.1206330940235807e-19,0.11224537199999998,0.0,0.0,0.0,0.0,0.99999999999999989,1.6582951922444344e-16,5.3411318380475878e-19,1.1215029340938223e-29,5.341131838048909e-19,8.106175998997537e-30,2.4326096899618848e-30
1.1537772663266026e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.6432265382840522e-16,1.4955169146712783e-18,6.773877721926296e-29,1.4955169146720762e-18,4.8961303034435615e-29,1.4692962527520482e-29
2.637205180175092e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0613089230361831e-15,3.4183243764761336e-18,3.2613305323442453e-28,3.4183243764799751e-18,2.3572759805820573e-28,7.0740289786352e-29
5.6040610078720706e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.255281461451155e-15,7.2639393003731076e-18,1.4243087262985437e-27,7.2639393003898832e-18,1.0294843519487127e-27,3.0894143064851669e-28
1.1537772663266026e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999545,4.6432265382787672e-15,1.4955169149316113e-17,5.9462085565599473e-27,1.4955169149386149e-17,4.2978945153527247e-27,1.2897696578280083e-27
2.3405195974053938e-17,0.11224537200000054,0.0,0.0,0.0,0.0,0.99999999999999056,9.4191166919246602e-15,3.0337628851798339e-17,2.429220215359926e-26,3.0337628852084486e-17,1.7558301466661774e-26,5.2691298946248796e-27
4.7140042595629767e-17,0.11224537200000106,0.0,0.0,0.0,0.0,0.99999999999998113,1.8970896999179127e-14,6.1102548275147674e-17,9.8192965093614633e-26,6.1102548276304305e-17,7.0973461883356241e-26,2.1298665502908094e-26
9.460973583878142e-17,0.11224537200000217,0.0,0.0,0.0,0.0,0.99999999999996148,3.8074457613538735e-14,1.226323871953858e-16,3.9482959395635819e-25,1.2263238720003653e-16,2.8538116890162892e-25,8.5640997297735666e-26
1.8954912232508474e-16,0.11224537200000431,0.0,0.0,0.0,0.0,0.99999999999992317,7.6281578841660827e-14,2.4569206533002013e-16,1.5834432636044252e-24,2.4569206534867167e-16,1.1445061287063355e-24,3.434587035164622e-25
3.7942789529769137e-16,0.11224537200000863,0.0,0.0,0.0,0.0,0.99999999999984635,1.5269582129551629e-13,4.9181142277592071e-16,6.3420322505247019e-24,4.9181142285062435e-16,4.583994239617401e-24,1.3756262889984138e-24
