Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
6.805001588850729e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843778164406e-16,8.8205889277393422e-19,3.0586443657103004e-29,8.8205889277429436e-19,2.2107752724688158e-29,6.6343900635783216e-30,6.5856199701662433e-57,4.4803308798906326e-49,2.7553451003666091e-59,1.854071404791584e-86,3.0732030742716815e-89,1.3828241742132514e-97,1.3169807823111903e-99,2.9684657351273404e-100,2.6909073632450083e-67,1.1176232526567161e-68,2.6133173174732832e-96,9.2948552868233357e-88,1.4789035731352191e-84,8.4872464499497632e-98,1.7122033756360152e-113,-4.0439408915351064e-184,-4.65754695559017e-155,-1.7557801505463143e-163,-3.0956424963143271e-140
1.905400444878204e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.6680362578850394e-16,2.4697648998159807e-18,1.8474211968888438e-28,2.4697648998181566e-18,1.3353082645932557e-28,4.0071715984691762e-29,2.0706242876324351e-55,5.3190488389192169e-48,6.1635967959882154e-58,2.0965048925681337e-84,2.3714211789696271e-87,1.9345148509317526e-95,1.8424042544397807e-97,4.1527667374020254e-98,1.5498248835395823e-65,6.4369377084667788e-67,5.3261159114847974e-94,9.7289985409067751e-86,1.5479799814671986e-82,1.6075474158997984e-95,6.2921883224912761e-111,7.8848104699136077e-181,8.6978885953406213e-152,5.9002446327295381e-160,3.002580353447639e-137
4.3552010168644665e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940018018261e-15,5.6451769140959366e-18,8.8945378154828919e-28,5.6451769141064129e-18,6.4289344926706865e-28,1.9292806305903836e-28,4.6194488763138388e-54,5.2222737283101437e-47,1.2178228697077712e-56,1.8969617903558006e-82,2.5844907991378943e-85,4.2058531355626436e-93,4.0056024067530494e-95,9.0286007308120569e-96,6.9500652831395995e-64,2.8865930398789061e-65,9.6412435999798505e-92,8.7397088174354811e-84,1.3905741448265552e-80,2.8889960182459255e-93,2.2778834274935853e-108,1.321480878481493e-176,3.6206279158282507e-148,4.9141841344607137e-156,6.19970074528544e-134
9.254802160836992e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.7244747538268805e-15,1.1996000943439292e-17,3.8844783444493284e-27,1.1996000943485046e-17,2.8076845963778101e-27,8.4256753817964725e-28,8.6517164840631603e-53,4.6190420371539394e-46,2.1670507580696212e-55,1.4372363623253027e-80,2.114273937087858e-83,6.8916776569317271e-91,6.563574943083292e-93,1.4794253500162566e-93,2.614788259483707e-62,1.0860084433846743e-63,1.4622062398218683e-89,6.5903854586018813e-82,1.0485954611386308e-78,4.361677968902833e-91,6.9126398196922423e-106,1.5825802697783435e-172,1.0248593707667278e-144,2.7821872519997753e-152,8.7324668609337412e-131
1.905400444878204e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362578706251e-15,2.4697649005259785e-17,1.6216932426971228e-26,2.4697649005450813e-17,1.1721530497711389e-26,3.51755361265603e-27,1.494368863766796e-51,3.8825832593153764e-45,3.6550479455275413e-54,9.9917316158102702e-79,1.5216582961384597e-81,9.9282779271590334e-89,9.4556835744078788e-91,2.1313046760683e-91,9.0541815398862774e-61,3.7605024218825763e-62,2.034043162058067e-87,4.5694612780551389e-80,7.2704635140279043e-77,6.0519163168202067e-89,1.9237168123502673e-103,1.5634097833418755e-168,2.4505560452858064e-141,1.3305487447483105e-148,1.041153927356783e-127
3.865240902467214e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159265932672e-14,5.0100945141435937e-17,6.6251460418821569e-26,5.0100945142216324e-17,4.7886276737875519e-26,1.4370354261329472e-26,2.4829161978473632e-50,3.1831765103735399e-44,6.0034275519052131e-53,6.66185781976942e-77,1.0314295249816088e-79,1.3465057618586568e-86,1.2824316988818184e-88,2.8905923652462454e-89,3.0123832064573786e-59,1.2511428293910185e-60,2.7130218265128948e-85,3.0424192613480431e-78,4.8407877536900968e-75,8.0613583358886423e-87,5.1324454258956785e-101,1.4049233922600911e-164,5.4141388547050968e-138,5.879399212483908e-145,1.1484096765127831e-124
7.784921817645233e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405281954971e-14,1.0090753746392875e-16,2.6779899570916632e-25,1.0090753746708323e-16,1.935639870405803e-25,5.8087269579799145e-26,4.0477799946737073e-49,2.5778191567649902e-43,9.7318158236186588e-52,4.3512460812549826e-75,6.7913949339743619e-78,1.7735331170081889e-84,1.6891934056280508e-86,3.807430495653022e-87,9.8279159785441943e-58,4.0818600065375783e-59,3.5445147767599718e-83,1.9857912424068789e-76,3.1595871093762498e-73,1.0524926687153293e-84,1.3411840891846427e-98,1.2050501456223021e-160,1.1512180772348787e-134,2.5003158636656155e-141,1.2198330136265611e-121
1.5624283648001274e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.2877897313592391e-14,2.0252072230947668e-16,1.0768079835117745e-24,2.0252072232216061e-16,7.7831227951460466e-25,2.3356635647915035e-25,6.5371752984321087e-48,2.074853588171116e-42,1.5672792772382563e-50,2.8131990413841379e-73,4.4083522193004092e-76,2.302537251073541e-82,2.193182803861376e-84,4.9434191818411767e-85,3.1754010376772549e-56,1.3188495286357737e-57,4.5835445833512822e-81,1.283418046271108e-74,2.042040774768831e-71,1.3605569297909415e-82,3.4687935986617319e-96,1.0100441123815594e-156,2.4021218301233048e-131,1.0434316532786348e-137,1.2716925334160161e-118
3.1303007308713356e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.2597488137523858e-13,4.0574709280282168e-16,4.3184816279674089e-24,4.0574709285368965e-16,3.1213803565699865e-24,9.367055567508658e-25,1.0508317707191256e-46,1.6649400820344616e-41,2.5158314326762673e-49,1.8095927716039581e-71,2.8412984672244239e-74,2.9678722749653539e-80,2.8272847612313819e-82,6.3726806887478946e-83,1.0210306587847635e-54,4.2406793886522398e-56,5.8969284749746181e-79,8.2541594228868978e-73,1.3133127855801879e-69,1.7501185731983051e-80,8.9256651386317524e-94,8.3693328301691525e-153,4.9655597559255863e-128,4.3138762786107264e-134,1.3131293400900551e-115
6.266045463013751e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884949201626e-13,8.1219983699850771e-16,1.7296451591982279e-23,8.1219983720224504e-16,1.2501802516173057e-23,3.7517080745732736e-24,1.6852479160384697e-45,1.333979318282223e-40,4.0318937012888062e-48,1.1610754940463925e-69,1.8248410878199018e-72,3.8113879514783791e-78,3.6317825527921913e-80,8.1860132352412223e-81,3.2751636062566332e-53,1.3602841465064234e-54,7.5673275704269412e-77,5.2956073224047228e-71,8.4257621786296744e-68,2.2456772043474087e-78,2.2908209181687018e-91,6.8952839699040399e-149,1.0216844774318418e-124,1.775193899957085e-130,1.348678137323112e-112
