Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
6.574257268068896e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6457238646916468e-16,8.5214963354149239e-19,2.8547352403776795e-29,8.5214963354182865e-19,2.0633905874281386e-29,6.1920969131164424e-30,5.7368086587268846e-57,4.0398498098049461e-49,2.400212956121086e-59,1.5074297216000139e-86,2.4986285675062224e-89,1.0861652045336647e-97,1.0344470738439953e-99,2.3316381062074131e-100,2.2645972802763557e-67,9.4056235462606117e-69,2.0526827493692358e-96,7.5570643795305725e-88,1.202404012153747e-84,6.6664650055851562e-98,1.2992808389711101e-113,-2.5825261293318833e-184,-3.1868398517986169e-155
1.840792035059291e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.4080268211356814e-16,2.3860189739618796e-18,1.7242600851879579e-28,2.3860189739639107e-18,1.2462879148265154e-28,3.7400265355835293e-29,1.8037444304786672e-55,4.7961097101531373e-48,5.3691803913851109e-58,1.7045372590775748e-84,1.9280537470317106e-87,1.5195010486732806e-95,1.4471507217432371e-97,3.2618699469987923e-98,1.3042921001882463e-65,5.4171575916874711e-67,4.1835050805688999e-94,7.9100390395373825e-86,1.2585657200890175e-82,1.2626779075685354e-95,4.7747363760582468e-111,5.0353676538467257e-181,5.951368482187921e-152
4.2075246515640935e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6932632734020043e-15,5.4537576549854592e-18,8.3015700790158929e-28,5.4537576549952375e-18,6.0003398285398176e-28,1.8006617824260597e-28,4.0240545967589068e-54,4.7088489859667998e-47,1.0608595739030793e-56,1.5423012186127322e-82,2.1012872845764221e-85,3.3035666198053054e-93,3.146274982984609e-95,7.0916868804087653e-96,5.8489932257250344e-64,2.4292808333705664e-65,7.5729090869857525e-92,7.1057095517516641e-84,1.1305888777135635e-80,2.2692154584872286e-93,1.7285389922732983e-108,8.4391909415721282e-177,2.477347321980109e-148
8.940989884573697e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.598184455977392e-15,1.1589235017763836e-17,3.6255137552771715e-27,1.1589235017806541e-17,2.6205060463424868e-27,7.8639630806064627e-28,7.536608894705341e-53,4.1649236585453479e-46,1.8877429550360907e-55,1.1685271700274448e-80,1.7189834617227055e-83,5.4131988568767398e-91,5.1554821342790176e-93,1.1620428967273726e-93,2.2005374330100071e-62,9.1395616222226379e-64,1.1485193588191791e-89,5.3582294073403271e-82,8.5254739566520088e-79,3.425960785263552e-91,5.2455570467476738e-106,1.0106614058698792e-172,7.0124097588570295e-145
1.8407920350592908e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999256,7.4080268211222292e-15,2.3860189746245452e-17,1.5135806244460115e-26,2.3860189746423738e-17,1.0940096897322748e-26,3.2830497841880594e-27,1.30176175940108e-51,3.5008693853704915e-45,3.1839544955016585e-54,8.1236532610554805e-79,1.2371648726573277e-81,7.7983562421755317e-89,7.427142703583343e-91,1.674073964064266e-91,7.6197624546060124e-61,3.1647400009385757e-62,1.5976801924070501e-87,3.7151425874903012e-80,5.9111592263934035e-77,4.7535898122983898e-89,1.4597847619173588e-103,9.9841884443439634e-169,1.6767474731242224e-141
3.7341781282631324e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999849,1.5027711551388156e-14,4.8402099214908154e-17,6.183470720048752e-26,4.8402099215636519e-17,4.469386550345524e-26,1.3412329604914918e-26,2.1628966163466482e-50,2.8702243913147953e-44,5.2296550939928889e-53,5.4163407319360248e-77,8.3859062237288428e-80,1.0576393462633772e-86,1.0073098539311851e-88,2.2704709825241441e-89,2.5351429458593627e-59,1.0529289217884519e-60,2.1309976640294332e-85,2.4736004042862861e-78,3.9357418058002811e-75,6.3319432689016175e-87,3.8946821921899337e-101,8.9720690377853896e-165,3.7045241886071095e-138
7.520950314670815e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.99999999999996969,3.0267081011825001e-14,9.7485918199031419e-17,2.4994577302266348e-25,9.7485918201975595e-17,1.8065975039767996e-25,5.4214780740310331e-26,3.5260673181170995e-49,2.3243823796397309e-43,8.477497157811004e-52,3.5377265563381531e-75,5.5216570521688667e-78,1.3930578825099971e-84,1.326808410881413e-86,2.9906190064708041e-87,8.2709171346311996e-58,3.4351861015694412e-59,2.7841105482561917e-83,1.6145223617724991e-76,2.568862696279555e-73,8.2669986450632175e-85,1.0177382003601698e-98,7.6956466830862407e-161,7.8769972452572841e-135
1.5094494687486184e-16,0.11224537200000344,0.0,0.0,0.0,0.0,0.99999999999993883,6.0745819932318664e-14,1.956535563544694e-16,1.0050209603033001e-24,1.9565355636630779e-16,7.2642491143614292e-25,2.1799524914729656e-25,5.6946079647267069e-48,1.8708655614276082e-42,1.3652750690367912e-50,2.2872365109603349e-73,3.5841545673266083e-76,1.8085789758431183e-82,1.7226762708916977e-84,3.8829030261147999e-85,2.6723344945456277e-56,1.1099091027024715e-57,3.6002374212741877e-81,1.0434667129717918e-74,1.6602556580134551e-71,1.0686746372967673e-82,2.6322439696014097e-96,6.4503074890606951e-157,1.6436078959178805e-131
3.0241583433116916e-16,0.11224537200000692,0.0,0.0,0.0,0.0,0.99999999999987732,1.2170329777178587e-13,3.9198883341411116e-16,4.0305835573761199e-24,3.9198883346158836e-16,2.9132888026905192e-24,8.7425845178947931e-25,9.1539154308661794e-47,1.5012524409787624e-41,2.1915697682156257e-49,1.4712668933867867e-71,2.3100815031163492e-74,2.3311913662712489e-80,2.2207434696733652e-82,5.0055437996695755e-83,8.5927271003471708e-55,3.5688443345296939e-56,4.6318611944092499e-79,6.7109388123160584e-73,1.0677725018446689e-69,1.3746630237738503e-80,6.7731121072831631e-94,5.3447951829217306e-153,3.3975948780793039e-128
6.053576092437838e-16,0.11224537200001379,0.0,0.0,0.0,0.0,0.99999999999975464,2.4361825344463995e-13,7.8465939052845824e-16,1.6143357641299185e-23,7.8465939071861464e-16,1.166835089532825e-23,3.5015939306541195e-24,1.4680386907754272e-45,1.2028298606311714e-40,3.512228986954016e-48,9.4399796813097343e-70,1.4836637990945627e-72,2.9937786513709943e-78,2.8526512662689898e-80,6.4298605466708156e-81,2.7562920811059089e-53,1.1447793978380187e-54,5.9439096387755825e-77,4.3055252218192678e-71,6.8504603722306601e-68,1.7639086687892294e-78,1.7383563285392385e-91,4.403446129426837e-149,6.9906982976989624e-125
