Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
5.556260530504363e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.2360447810692538e-16,7.2019807012454856e-19,2.0390962438069054e-29,7.2019807012478882e-19,1.4738501816412436e-29,4.4229267090379777e-30,2.9269422092509508e-57,2.4387832289782808e-49,1.2245978219204537e-59,5.4935449115048123e-87,9.1057868979972259e-90,3.3453968694812585e-98,3.1861046140285696e-100,7.181458152106034e-101,9.7649582222803725e-68
1.5557529485412217e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.2609253869932498e-16,2.0165545963813799e-18,1.2316141312592749e-28,2.0165545963828305e-18,8.9020550972333606e-29,2.6714477322958831e-29,9.2027746133564052e-56,2.8953234575821516e-48,2.7393763510796759e-58,6.2118663459730564e-85,7.0264331275627125e-88,4.6800751068988621e-96,4.4572348902100735e-98,1.0046577317828564e-98,5.6241160314356515e-66
3.556006739522793e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.4310686598838584e-15,4.6092676490256167e-18,5.9296918769890332e-28,4.6092676490326009e-18,4.2859563283931097e-28,1.2861870870436603e-28,2.0530883902155958e-54,2.8426457560124707e-47,5.4125460754922617e-57,5.6206275209841152e-83,7.6577505235478819e-86,1.0175014080617377e-93,9.6905501419239535e-96,2.1842434472911014e-96,2.5220896889732757e-64
7.556514321485934e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999689,3.0410209022518655e-15,9.7946937548363833e-18,2.5896522296332716e-27,9.79469375486689e-18,1.8717897308707655e-27,5.6171169210508697e-28,3.8452073290445039e-53,2.5142880080682883e-46,9.6313366569848982e-56,4.258478100400531e-81,6.2645153797677672e-84,1.6672709913393064e-91,1.5878922988848165e-93,3.5790984950641368e-94,9.488731747999135e-63
1.5557529485412216e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.99999999999999367,6.2609253869836387e-15,2.0165545968547119e-17,1.081128828465073e-26,2.0165545968674468e-17,7.8143536647393522e-27,2.3450357416473109e-27,6.6416394041939721e-52,2.1134106164103504e-45,1.6244657377914952e-54,2.960513056427243e-79,4.5086171877743444e-82,2.4019049048628669e-89,2.2875654319245647e-91,5.156156996648328e-92,3.285646536581352e-61
3.1559559813264785e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998734,1.2700734356430221e-14,4.0907250404325348e-17,4.4167640279240897e-26,4.0907250404845602e-17,3.1924184488624664e-26,9.5802361732081334e-27,1.1035183133731734e-50,1.732701789596294e-44,2.6681899705724723e-53,1.9738837780530978e-77,3.0560874996053986e-80,3.2575522405980808e-87,3.1025217884595527e-89,6.9930631027910132e-90,1.0931552916940559e-59
6.356362046896992e-17,0.11224537200000143,0.0,0.0,0.0,0.0,0.99999999999997446,2.5580352295255522e-14,8.2390659309308839e-17,1.7853266380632547e-25,8.2390659311411794e-17,1.2904265800039123e-25,3.8724846378341265e-26,1.79901334146724e-49,1.4031869610938687e-43,4.3252513058813398e-52,1.2892580711816668e-75,2.0122651890045157e-78,4.2906694228882495e-85,4.0865797219468168e-87,9.211123016695753e-88,3.5664248704317453e-58
1.2757174178038018e-16,0.11224537200000291,0.0,0.0,0.0,0.0,0.99999999999994815,5.1339588172634665e-14,1.6535747725298398e-16,7.1787198900957589e-25,1.6535747726143988e-16,5.1887485279513491e-25,1.5571090425350112e-25,2.9054112776765494e-48,1.129407147732135e-42,6.9656851231806851e-51,8.3354042162701692e-74,1.3061784653323349e-76,5.570543596243866e-83,5.3058557083628112e-85,1.1959362824328734e-85,1.1523123843546588e-56
2.5558798440320074e-16,0.1122453720000058,0.0,0.0,0.0,0.0,0.99999999999989664,1.0285805992630721e-13,3.3129111367516713e-16,2.8789877519921233e-24,3.3129111370907908e-16,2.0809202359912826e-24,6.2447037063817786e-25,4.670363534514325e-47,9.0627844058483547e-42,1.1181471254552812e-49,5.3617559076722006e-72,8.4186625089433524e-75,7.1803635938026772e-81,6.8399065051605062e-83,1.5417102910218139e-83,3.7051895853544016e-55
5.116204696488419e-16,0.11224537200001163,0.0,0.0,0.0,0.0,0.99999999999979283,2.0589500342930917e-13,6.6315838865886409e-16,1.1530967728099158e-23,6.6315838879468888e-16,8.3345349969847457e-24,2.5011387121432147e-24,7.4899910878955861e-46,7.2612612925589922e-41,1.7919521852919081e-48,3.4402231043626999e-70,5.4069370470939555e-73,9.2215730983377572e-79,8.7861875689099111e-81,1.9804007193136065e-81,1.1885149811569428e-53
