Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
4.96967049881313e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9999792525021001e-16,6.4416442190299746e-19,1.6312769950786319e-29,6.4416442190318976e-19,1.1790801453351756e-29,3.5383396374264056e-30,1.8732430141376566e-57,1.745051226104236e-49,7.8374260592118308e-60,2.6058822272794134e-87,4.6621629102669248e-90
1.3915077396676766e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.599941907005352e-16,1.8036603813545082e-18,9.8529130502742513e-29,1.8036603813556687e-18,7.1216440779105065e-29,2.1371571410319845e-29,5.8897757535984819e-56,2.0717248208399975e-48,1.7532008639525568e-58,2.9640030165227558e-85,3.5975337843413808e-88
3.1805891192404036e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867216009732e-15,4.122652300361989e-18,4.7437535016876271e-28,4.1226523003675765e-18,3.4287650627637577e-28,1.0289491666032521e-28,1.3139765701551205e-54,2.0340317247089464e-47,3.4640294848185517e-57,2.6833006761831789e-83,3.9207683172590897e-86
6.758751878385858e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.7199717834010014e-15,8.7606361387947857e-18,2.0717217837487919e-27,8.7606361388191911e-18,1.4974317847090412e-27,4.4936913399412844e-28,2.4609326920570387e-53,1.7990780442697617e-46,6.1640554470274178e-56,2.0337031387660898e-81,3.2074319544334619e-84
1.3915077396676766e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.5999419069976653e-15,1.8036603817331741e-17,8.649030627897266e-27,1.8036603817433618e-17,6.2514829317674134e-27,1.8760276761322544e-27,4.250649223595811e-52,1.5122335297763522e-45,1.0396580674858038e-54,1.4141110902110394e-79,2.3084121149338624e-82
2.8227728433258585e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.135988215417742e-14,3.6588539181091048e-17,3.5334112224119524e-26,3.6588539181507259e-17,2.5539347590180661e-26,7.6641851913733713e-27,7.0625172216421619e-51,1.2398204638101752e-44,1.7076415654532814e-53,9.4293395765530177e-78,1.56471695518542e-80
5.685303050642222e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762648482641e-14,7.3692409935351289e-17,1.4282613104803853e-25,7.3692409937033707e-17,1.0323412639238797e-25,3.0979861954377407e-26,1.1513685437297839e-49,1.0040388383825025e-43,2.7681607843825281e-52,6.1591583045451401e-76,1.0302799812412815e-78
1.141036346527495e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.5919523636875908e-14,1.4790015155083826e-16,5.742975912199602e-25,1.4790015155760312e-16,4.1509988216388381e-25,1.2456866247977126e-25,1.8594632344087326e-48,8.0813793897478971e-43,4.4580383126338823e-51,3.9821637539891818e-74,6.6876363958489553e-77
2.28604842945404e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.1999045612793867e-14,2.9631563520967849e-16,2.3031902016456292e-24,2.963156352368085e-16,1.6647361881796669e-24,4.9957605208249163e-25,2.989032715651839e-47,6.4848001382640131e-42,7.1561410682014871e-50,2.5615625032439559e-72,4.3103586238647466e-75
4.57607259530713e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808956115526e-13,5.9314660423882299e-16,9.2247741827081693e-24,5.9314660434748463e-16,6.6676279925381188e-24,2.0009099899307735e-24,4.7935944678715803e-46,5.1957348295926673e-41,1.1468492270188235e-48,1.6435663482921476e-70,2.7683561588245797e-73
9.15612092701331e-16,0.1122453720000208,0.0,0.0,0.0,0.0,0.99999999999962941,3.6847617744398027e-13,1.1868085491429698e-15,3.6923137184749376e-23,1.1868085495779002e-15,2.6687888486048363e-23,8.0088545356796179e-24,7.6786755688366948e-45,4.1597525465494032e-40,1.8364553282294731e-47,1.0532184923145221e-68,1.7748682292598293e-71
