Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
7.028176648463501e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977833392933e-16,9.1098627742310769e-19,3.262554560431611e-29,9.1098627742349172e-19,2.3581606713491398e-29,7.0766821864270706e-30,7.4929745743993018e-57,4.9357498398037723e-49,3.134972024753858e-59,2.2501574841490649e-86,3.729731271101526e-89,1.7332757775261331e-97,1.6507453769824572e-99,3.7207711461856858e-100,3.1620654055816145e-67,1.3133106310870719e-68,3.2756210000091449e-96,1.1280515903044592e-87,1.7948421405174854e-84,1.0638182045934702e-97,2.2165157489735774e-113,-6.1516607447130716e-184,-6.6422611400398954e-155,-2.5860878649383216e-163,-4.2745934670095098e-140,0.0,-1.8879483386475402e-126
1.9678894615697804e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137933489592e-16,2.550761576836931e-18,1.9705829545004975e-28,2.5507615768392521e-18,1.4243290455192175e-28,4.2743160406767223e-29,2.3559110927181059e-55,5.8597222306512262e-48,7.0128070443150115e-58,2.5443821482168971e-84,2.8780277499729885e-87,2.4247823374455384e-95,2.3093277796504178e-97,5.205212400493e-98,1.8211877955441951e-65,7.5639968154909105e-67,6.6759352421090409e-94,1.1807405233501774e-85,1.8786753604919717e-82,2.0149505691354211e-95,8.1454894635309845e-111,1.1994408516334368e-180,1.240430813104687e-151,8.6904679251383819e-160,4.146088604544048e-137,4.4793146862695666e-220,1.3292594040766859e-123
4.498033055016641e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.8101745813364057e-15,5.8303121758734966e-18,9.4875086617321938e-28,5.8303121758846724e-18,6.8575312326483492e-28,2.0578991799251493e-28,5.2559080440648726e-54,5.7531100755226629e-47,1.385612505815518e-56,2.3022105666513133e-82,3.1366154207458667e-85,5.271749512576673e-93,5.020748779392387e-95,1.1316740730260908e-95,8.1669704790052506e-64,3.3920136482936475e-65,1.2084663387861206e-91,1.060677348346228e-83,1.6876428726653281e-80,3.6211586140349978e-93,2.9488112109141851e-108,2.0102425399238308e-176,5.1634812060094254e-148,7.2380998130100377e-156,8.5608027947672484e-134,5.616753478540752e-215,1.324332726282979e-120
9.558320241910362e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209853377271e-15,1.2389413374782303e-17,4.1434442917451147e-27,1.2389413374831111e-17,2.9948640529906267e-27,8.9873863779213233e-28,9.8437340639903886e-53,5.0885607836654379e-46,2.4656234557141282e-55,1.7442737952330318e-80,2.5659461570254926e-83,8.6382458769144074e-91,8.2269924803952479e-93,1.8543596746562496e-93,3.0726184075603385e-62,1.276160307642072e-63,1.832779147027244e-89,7.9982900278440824e-82,1.2726071909123879e-78,5.4670645636815286e-91,8.9486887532579998e-106,2.407428060397622e-172,1.461581311341776e-144,4.0978824652424309e-152,1.2058141147157557e-130,7.1293666381854559e-210,9.2266983643510854e-118
1.9678894615697802e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137933335843e-15,2.5507615775942625e-17,1.7298064279381107e-26,2.5507615776146383e-17,1.2502967882888125e-26,3.7520568962866809e-27,1.7002602562893099e-51,4.277242071392651e-45,4.1586344577850712e-54,1.2126269620787088e-78,1.8467300702157935e-81,1.2444413011299209e-88,1.1852052931313612e-90,2.6714463454731156e-91,1.0639501978974437e-60,4.4189379521069437e-62,2.5495390412799381e-87,5.5456356782276946e-80,8.8236545847335947e-77,7.585662560195576e-89,2.4903283648023548e-103,2.3782657822660801e-168,3.4948081814183004e-141,1.9597646949438724e-148,1.4376648710479496e-127,6.3985165538305118e-205,5.4746539806059046e-115
3.9920043363272683e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.606529940929816e-14,5.1744020591634087e-17,7.0668236800541763e-26,5.1744020592466508e-17,5.1078703434435122e-26,1.5328376691919635e-26,2.8250078224793174e-50,3.5067416734008451e-44,6.8305699675359792e-53,8.0850334364433818e-77,1.2517737543048942e-79,1.687751395536037e-86,1.6074404614617783e-88,3.6231621378037075e-89,3.53982929736309e-59,1.4702084748695441e-60,3.4005940516909685e-85,3.6923715782971332e-78,5.8749265387026757e-75,1.0104360507240834e-86,6.6441559195093445e-101,2.1371755027814949e-164,7.7212585085965925e-138,8.6597646027448886e-145,1.5857625872460811e-124,4.8845162628454854e-200,3.0128368202050349e-112
8.040234085842245e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870641118727e-14,1.0421683027650028e-16,2.8565231202577638e-25,1.0421683027986506e-16,2.06468286184284e-25,6.1959749422261735e-26,4.605475671171858e-49,2.8398506546287165e-43,1.1072649508367052e-51,5.2808047091322742e-75,8.2422402296494133e-78,2.2229981482387435e-84,2.1172884505837809e-86,4.7723567549580053e-87,1.1548711605128335e-57,4.7965628142354252e-59,4.4428156775548912e-83,2.4100160569997243e-76,3.8345705485540912e-73,1.3192274740492522e-84,1.7362164611563681e-98,1.8331273063517451e-160,1.6417850678930423e-134,3.6827141208184327e-141,1.6843755070034617e-121,3.4509903879190364e-195,1.5986661732467346e-109
1.61366935848722e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013104325545e-14,2.0916244986016578e-16,1.1485953832027683e-24,2.0916244987369537e-16,8.3019989890897636e-25,2.4913742763525688e-25,7.4378552697398431e-48,2.2857593980274173e-42,1.7832164682016947e-50,3.4141840160183087e-73,5.3501082307873226e-76,2.886061234705364e-82,2.7490047000021222e-84,6.196241770911761e-85,3.7313903434063956e-56,1.5497701018347855e-57,5.7451711010753097e-81,1.557594847515697e-74,2.4782824894400855e-71,1.7053649381907978e-82,4.4904921211517648e-96,1.5364830562744004e-156,3.4257346962717074e-131,1.5368699728185412e-137,1.7559618667243498e-118,2.347602135592848e-190,8.3318978967392893e-107
3.2329612582932104e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629802900192e-13,4.1905368988322916e-16,4.6063812084217982e-24,4.1905368993748879e-16,3.3294729183621392e-24,9.9915251663854039e-25,1.1956134340226245e-46,1.8341788150134457e-41,2.8624586383713186e-49,2.1961769102265631e-71,3.4482848687967757e-74,3.7199939989522249e-80,3.5438081367118077e-82,7.9877244197293558e-83,1.1998055954819318e-54,4.9831902483138787e-56,7.3914113569595719e-79,1.0017497512462019e-72,1.5938761430154431e-69,2.1936538124665108e-80,1.1554630842513126e-93,1.2731457557014385e-152,7.0815267436025082e-128,6.3539059006003598e-134,1.8131315958065572e-115,1.5673798748058708e-185,4.3038988287221696e-104
6.471545057905191e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.6043886787140565e-13,8.3883617335228566e-16,1.8449551589991673e-23,8.3883617356960707e-16,1.3335258174113979e-23,4.0018216374986752e-24,1.9174382578869547e-45,1.469576415204614e-40,4.5874016570175812e-48,1.409116615868529e-69,2.2146817495400622e-72,4.7772338729047258e-78,4.5521910755814982e-80,1.0260614093664841e-80,3.848620579023979e-53,1.5984595947060242e-54,9.4851468182587603e-77,6.4269101036712423e-71,1.0225759943646543e-67,2.8148027114284649e-78,2.9655594638234828e-91,1.0489122341686862e-148,1.4570533835146949e-124,2.6146817786803055e-130,1.8621210745806558e-112,1.0367640696298417e-180,2.2133674666134977e-101
